QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
585853,Business & Finance,Business Strategy,Easy,600,What does a mission statement describe?,A company's long-term aspiration,The detailed organizational chart,An organization's purpose and reason for existing,A list of competitors,An organization's purpose and reason for existing
585853,Business & Finance,Business Strategy,Easy,600,What is a core competency in business strategy?,A unique capability that provides competitive advantage,The number of employees a company has,The office's physical location,A type of financial liability,A unique capability that provides competitive advantage
585853,Business & Finance,Business Strategy,Easy,600,Which strategy focuses on being the lowest-cost producer in an industry?,Differentiation,Focused differentiation,Market development,Cost leadership,Cost leadership
585853,Business & Finance,Business Strategy,Easy,600,"In a SWOT analysis, what does the 'O' stand for?",Strengths,Opportunities,Weaknesses,Targets,Opportunities
585853,Business & Finance,Business Strategy,Easy,600,Porter's Five Forces framework helps analyze what?,The competitive forces in an industry,How to file corporate taxes,Office interior design trends,Company logo options,The competitive forces in an industry
585853,Business & Finance,Business Strategy,Easy,600,A value proposition best describes:,A list of key suppliers,The owner's professional resume,Required legal compliance steps,The unique value and benefits offered to customers,The unique value and benefits offered to customers
585853,Business & Finance,Business Strategy,Easy,600,A market penetration strategy primarily aims to:,Launch brand-new products into new markets,Increase sales of existing products in existing markets,Build factories in multiple countries,Raise prices without changing value,Increase sales of existing products in existing markets
585853,Business & Finance,Business Strategy,Easy,600,"In SMART goals, what does the 'M' stand for?",Monetary,Marketable,Measurable,Motivational,Measurable
585853,Business & Finance,Business Strategy,Easy,600,A differentiation strategy primarily seeks to:,Reduce all marketing costs to zero,Copy competitors' features quickly,Match the lowest price in the market,Offer unique features that justify a premium,Offer unique features that justify a premium
585853,Business & Finance,Business Strategy,Easy,600,Who are stakeholders in a business?,Individuals or groups affected by or interested in the business,Only company shareholders,The government only,Anyone who buys office supplies,Individuals or groups affected by or interested in the business
