QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
149703,Technology & Computing,Operating Systems,Easy,600,What is the main purpose of an operating system?,To act as a user interface,To facilitate communication between hardware and software,To store data permanently,To control input devices,To facilitate communication between hardware and software
149703,Technology & Computing,Operating Systems,Easy,600,Which of the following is an example of an operating system?,Microsoft Word,Windows,Google Chrome,Adobe Photoshop,Windows
149703,Technology & Computing,Operating Systems,Easy,600,What is a kernel in an operating system?,The part of the operating system that manages memory and processes,A type of hardware device,A system utility tool,A command used in the terminal,The part of the operating system that manages memory and processes
149703,Technology & Computing,Operating Systems,Easy,600,Which operating system is developed by Apple?,Windows,Linux,macOS,Unix,macOS
149703,Technology & Computing,Operating Systems,Easy,600,What does GUI stand for in the context of operating systems?,General User Interaction,Graphical User Interface,Global User Integration,Guided User Input,Graphical User Interface
149703,Technology & Computing,Operating Systems,Easy,600,Which of the following is an open-source operating system?,Linux,Windows,macOS,Solaris,Linux
149703,Technology & Computing,Operating Systems,Easy,600,What is virtual memory?,The physical space on RAM,The storage space on hard drive,Memory that is simulated by disk space,A type of memory card,Memory that is simulated by disk space
149703,Technology & Computing,Operating Systems,Easy,600,Which command is used to shut down a Linux operating system?,restart,shutdown,poweroff,halt,shutdown
149703,Technology & Computing,Operating Systems,Easy,600,What does multitasking mean in an operating system?,Running multiple operating systems at the same time,Running multiple applications simultaneously,Switching between user accounts,Updating the system software,Running multiple applications simultaneously
149703,Technology & Computing,Operating Systems,Easy,600,Which file system is commonly used by Windows operating systems?,EXT4,FAT32,NTFS,HFS+,NTFS
