QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
932025,Gaming,Video Games,Easy,600,"In the first game of the Sly Cooper franchise, what family heirloom did Sly Cooper want to steal back?",Thievius Raccoonus,Raccoon Training 101,Raccoonus Teachus,The Art of Sneak,Thievius Raccoonus
932025,Gaming,Video Games,Easy,600,"In ""Phoenix Wright: Ace Attorney"" which character is the District Chief of Police?",Miles Edgeworth,Mike Meekins,Lana Skye,Damon Gant,Damon Gant
932025,Gaming,Video Games,Easy,600,What is the most expensive weapon in Counter-Strike: Global Offensive?,AWP,M4A1,R8 Revolver,Scar-20/G3SG1,Scar-20/G3SG1
932025,Gaming,Video Games,Easy,600,"What is the name of the world that the MMO ""RuneScape"" takes place in?",Gielinor,Glindor,Azeroth,Zaros,Gielinor
932025,Gaming,Video Games,Easy,600,"What does the D stand for in D-pad, found on most video game controllers?",Dial-up,Dynamic,Design,Directional,Directional
932025,Gaming,Video Games,Easy,600,"What is the boss round featured in the ""Call Of Duty: Zombies"" map ""Five""?",The Pentagon Thief,Hellhounds,Jumping Jacks,Napalm Zombie,The Pentagon Thief
932025,Gaming,Video Games,Easy,600,Which of the following was a map that was in Team Fortress 2 at launch?,Gold Rush,Gravel Pit,Hoodoo,Upward,Gravel Pit
932025,Gaming,Video Games,Easy,600,"In the video game franchise ""Halo"", what is the UNSC's main opposing faction called?",The Peoples,The Reckoning,The Slaughterers,The Covenant,The Covenant
932025,Gaming,Video Games,Easy,600,"In the video game ""Postal 2"", what is the name of Postal Dude's dog?",Champ,Krotchy,Snoopy,Duke,Champ
932025,Gaming,Video Games,Easy,600,Valve Corporation is an American video game developer located in which city?,"San Francisco, California","Bellevue, Washington","Seattle, Washington","Austin, Texas","Bellevue, Washington"
