QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
968822,Technology & Computing,Data Science & Analytics,Easy,600,What is the primary programming language used in Data Science?,Python,JavaScript,HTML,C++,Python
968822,Technology & Computing,Data Science & Analytics,Easy,600,Which library is commonly used for data manipulation in Python?,NumPy,Pandas,Matplotlib,TensorFlow,Pandas
968822,Technology & Computing,Data Science & Analytics,Easy,600,What is the process of discovering patterns in large data sets?,Data Cleaning,Data Visualization,Data Mining,Data Modeling,Data Mining
968822,Technology & Computing,Data Science & Analytics,Easy,600,Which of the following is a key tool for data visualization in Python?,Django,Matplotlib,SCRUM,Kafka,Matplotlib
968822,Technology & Computing,Data Science & Analytics,Easy,600,What does CSV stand for in terms of data files?,Compressed Symbolic Volume,Character Sorted View,Comma-Separated Values,Common Shared Variable,Comma-Separated Values
968822,Technology & Computing,Data Science & Analytics,Easy,600,Which of the following is used for big data storage and processing?,Hadoop,Flask,React,Bootstrap,Hadoop
968822,Technology & Computing,Data Science & Analytics,Easy,600,What is the term for cleaning and arranging raw data to prepare it for analysis?,Data Scraping,Data Processing,Data Wrangling,Data Compilation,Data Wrangling
968822,Technology & Computing,Data Science & Analytics,Easy,600,Which Python library is mainly used for numerical computations?,Seaborn,Scikit-Learn,NumPy,Jupyter,NumPy
968822,Technology & Computing,Data Science & Analytics,Easy,600,What does SQL stand for?,Simple Query Language,Structured Query Language,Symbolic Query Library,Statistical Query Logic,Structured Query Language
968822,Technology & Computing,Data Science & Analytics,Easy,600,Which term refers to predicting outcomes using data and algorithms?,Predictive Analysis,Descriptive Statistics,Data Cleaning,Data Sampling,Predictive Analysis
