QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather have the ability to fly, breathe underwater, speak every language, or be invisible at will?",Be invisible at will,Speak every language,Fly,Breathe underwater,Fly
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather always have free Wi-Fi wherever you go, never have to wait in line again, always get free food at restaurants, or have unlimited data on your phone?",Unlimited data on your phone,Never have to wait in line again,Always have free Wi-Fi wherever you go,Always get free food at restaurants,Never have to wait in line again
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather travel back in time to meet your ancestors, travel forward in time to meet your descendants, be famous in your lifetime, or live forever?",Travel back in time to meet your ancestors,Travel forward in time to meet your descendants,Live forever,Be famous in your lifetime,Travel forward in time to meet your descendants
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather give up social media for a year, eat only your favorite food for a year, never watch another movie, or never listen to music again?",Never watch another movie,Eat only your favorite food for a year,Give up social media for a year,Never listen to music again,Give up social media for a year
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather win the lottery once, have a perfect memory, always find the best deals when shopping, or have your dream job?",Always find the best deals when shopping,Have a perfect memory,Win the lottery once,Have your dream job,Have your dream job
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather never be stuck in traffic again, always wake up refreshed, never lose your keys, or instantly learn new skills?",Never lose your keys,Always wake up refreshed,Never be stuck in traffic again,Instantly learn new skills,Instantly learn new skills
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather be able to teleport anywhere, read minds, pause time for everyone but you, or be exceptionally lucky?",Be able to teleport anywhere,Pause time for everyone but you,Read minds,Be exceptionally lucky,Be exceptionally lucky
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather always have the newest technology, have unlimited vacation days, never get sick, or have a personal chef?",Have unlimited vacation days,Have a personal chef,Never get sick,Always have the newest technology,Never get sick
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather live on the beach, in the mountains, in a bustling city, or on a peaceful farm?",In a bustling city,On a peaceful farm,Live on the beach,In the mountains,Live on the beach
703159,Fun & Casual,Would You Rather,Medium,900,"Would you rather be able to stop time, change your appearance at will, speak to animals, or have super strength?",Change your appearance at will,Speak to animals,Be able to stop time,Have super strength,Speak to animals
