QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,"Which word best completes the sentence?: 'He is a _______ player, but he never scores a goal.'",talented,good,cricket,defender,talented
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,"Choose the correct option to complete the sentence: 'By the time I _______ my homework, it was already midnight.'",finish,had finished,was finishing,am finishing,had finished
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,"Identify the correct sentence: 'The new employee _______ the project, but he didn't finish it.'",finish,starts,had started,will start,had started
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,Read the sentence carefully and choose the best option: 'My mother said that she _______ me a few hours ago.',will call,has called,had called,will call,had called
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,"Select the correct sentence: 'If I _______ you, I wouldn't buy that car.'",were,am,is,will be,were
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,Which of the following options correctly completes the sentence?: 'She _______ her teeth three times a day.',will brush,brushing,brushes,has brushed,brushes
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,"Choose the correct option to complete the sentence: 'I wish I _______ a car, but I can't afford one.'",was having,had,have,had,had
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,Choose the correct sentence: 'This is the book _______ I have been looking for so many days.',which,that,what,when,that
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,Read the sentence carefully and choose the best option: 'My parents always _______ me to do well in my studies.',encourage,has encouraged,encouraging,is encouraging,encourage
872568,Logical & Aptitude Reasoning,Verbal Ability,Easy,600,Select the correct sentence: 'The maths _______ was very difficult to solve.',question,answer,result,(rr,question
