QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
990087,Lifestyle & Society,Social Trends,Easy,600,What is a common social trend in modern dating?,Arranged marriages are becoming more popular,Online dating is becoming more accepted,Couples are getting married at a younger age,Dating apps are only used for casual relationships,Online dating is becoming more accepted
990087,Lifestyle & Society,Social Trends,Easy,600,Which of the following is a notable shift in family structure in recent years?,More nuclear families,More single-parent households,More extended families living together,More families having more children,More single-parent households
990087,Lifestyle & Society,Social Trends,Easy,600,What is a growing trend in consumer behavior regarding sustainability?,Consumers are prioritizing cheaper products over sustainable ones,Consumers are increasingly preferring products with eco-friendly packaging,Consumers are not concerned about sustainability,Consumers are only buying products made locally,Consumers are increasingly preferring products with eco-friendly packaging
990087,Lifestyle & Society,Social Trends,Easy,600,How has social media influenced people's social interactions?,It has reduced face-to-face interactions,It has increased face-to-face interactions,It has had no impact on social interactions,It has only affected older generations,It has reduced face-to-face interactions
990087,Lifestyle & Society,Social Trends,Easy,600,What is observed as a trend in the way people work?,More people are working from the office,Remote work is becoming more common,People are working longer hours,The 9-to-5 schedule is becoming more flexible for fewer people,Remote work is becoming more common
990087,Lifestyle & Society,Social Trends,Easy,600,What is a prevalent trend in leisure activities among younger generations?,Watching traditional TV is increasing,Outdoor activities are decreasing,Streaming services are more popular than traditional TV,Reading physical books is on the rise,Streaming services are more popular than traditional TV
990087,Lifestyle & Society,Social Trends,Easy,600,How are attitudes towards mental health changing?,They are becoming more stigmatizing,They are remaining unchanged,There is a growing openness to discussing mental health,Only younger people are discussing mental health,There is a growing openness to discussing mental health
990087,Lifestyle & Society,Social Trends,Easy,600,What is a trend observed in travel preferences?,People are preferring more crowded tourist destinations,There is an increased interest in sustainable and eco-tourism,Traveling is becoming less popular,Luxury travel is decreasing,There is an increased interest in sustainable and eco-tourism
990087,Lifestyle & Society,Social Trends,Easy,600,What is happening to the traditional concept of retirement?,It is becoming more standardized,People are retiring earlier,The concept is evolving with more people working past traditional retirement age,It remains unchanged,The concept is evolving with more people working past traditional retirement age
990087,Lifestyle & Society,Social Trends,Easy,600,How is technology influencing social connections?,It is isolating people further,It is having no impact,It is facilitating global connections and communities,It is only affecting younger generations,It is facilitating global connections and communities
