QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
926087,Sports & Games,Cricket,Easy,600,Which of the following cricketers is known for hitting the most sixes in international cricket?,Sachin Tendulkar,Chris Gayle,Shahid Afridi,AB de Villiers,Chris Gayle
926087,Sports & Games,Cricket,Easy,600,"In cricket, what is the term for a score of exactly 100 runs?",Half-century,Double century,Century,Duck,Century
926087,Sports & Games,Cricket,Easy,600,Who is the captain of the Indian cricket team that won the 2011 Cricket World Cup?,Sourav Ganguly,Rahul Dravid,MS Dhoni,Virat Kohli,MS Dhoni
926087,Sports & Games,Cricket,Easy,600,"What is the name of the famous cricket stadium in Melbourne, Australia?",Sydney Cricket Ground,Melbourne Cricket Ground,Brisbane Cricket Ground,Perth Cricket Ground,Melbourne Cricket Ground
926087,Sports & Games,Cricket,Easy,600,Which bowler is known for taking the most wickets in Test cricket history?,Muttiah Muralitharan,Shane Warne,Anil Kumble,Glenn McGrath,Muttiah Muralitharan
926087,Sports & Games,Cricket,Easy,600,"In cricket, what is the term for a bowler who takes three wickets in three consecutive deliveries?",Hat-trick,Five-for,Maiden over,Century,Hat-trick
926087,Sports & Games,Cricket,Easy,600,Who is the West Indian cricketer known for his exceptional fast bowling?,Malcolm Marshall,Vivian Richards,Brian Lara,Clive Lloyd,Malcolm Marshall
926087,Sports & Games,Cricket,Easy,600,What is the name of the cricket tournament held every four years among national teams?,Indian Premier League,Big Bash League,Cricket World Cup,Champions Trophy,Cricket World Cup
926087,Sports & Games,Cricket,Easy,600,Who is the Australian cricketer known for his exceptional batting and captaincy?,Sir Donald Bradman,Ricky Ponting,Steve Waugh,Shane Warne,Sir Donald Bradman
926087,Sports & Games,Cricket,Easy,600,"In cricket, what is the term for a batsman who is dismissed without scoring a run?",Duck,Golden duck,Century,Half-century,Duck
