QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
753066,Entertainment & Pop Culture,Music,Easy,600,Which of the following songs did Elton John perform following Princess Diane's passing?,I Guess That's Why They Call It The Blues,Candles in the Wind,Your Song,Island Girl,Candles in the Wind
753066,Entertainment & Pop Culture,Music,Easy,600,Which term best describes the connection of two sections of a musical piece through a transitional passage?,Capo,Bridge,Binary Form,Coda,Bridge
753066,Entertainment & Pop Culture,Music,Easy,600,What was Rage Against the Machine's debut album?,The Battle Of Los Angeles,Bombtrack,Evil Empire,Rage Against the Machine,Rage Against the Machine
753066,Entertainment & Pop Culture,Music,Easy,600,What is the best selling album of all time from 1976 to 2018?,Thriller,The Dark Side of the Moon,Abbey Road,Back in Black,Thriller
753066,Entertainment & Pop Culture,Music,Easy,600,"What 1970's American ballad referred to the 1959 plane crash as the ""the day the music died""?",American Pie,Rock 'n' Roll Suicide,I Will Always Love You,Kentucky Rain,American Pie
753066,Entertainment & Pop Culture,Music,Easy,600,What is the name of Finnish DJ Darude's hit single released in October 1999?,Sirocco,Khamsin,Dust Devil,Sandstorm,Sandstorm
753066,Entertainment & Pop Culture,Music,Easy,600,Which of the following songs was not originally released by Sir Elton John? ,I Don't Wanna Go On With You Like That,You'll Be In My Heart,Crocodile Rock,Candle in the Wind,You'll Be In My Heart
753066,Entertainment & Pop Culture,Music,Easy,600,"Which former boy-band star released hit solo single ""Angels"" in 1997?",Robbie Williams,Harry Styles,Gary Barlow,Justin Timberlake,Robbie Williams
753066,Entertainment & Pop Culture,Music,Easy,600,Which of these is NOT considered a woodwind instrument?,Oboe,Trombone,Bassoon,Clarinet,Trombone
753066,Entertainment & Pop Culture,Music,Easy,600,"Which group performs the song ""Crash into Me""?",Destiny's Child,The Grateful Dead,Dave Matthews Band,Phish,Dave Matthews Band
