QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
602259,Sports & Games,Athletes & Records,Easy,600,Who holds the record for the most Olympic gold medals in swimming?,Ian Thorpe,Michael Phelps,Ryan Lochte,Mark Spitz,Michael Phelps
602259,Sports & Games,Athletes & Records,Easy,600,Which athlete is known as the fastest man in the world?,Tyson Gay,Yohan Blake,Usain Bolt,Justin Gatlin,Usain Bolt
602259,Sports & Games,Athletes & Records,Easy,600,Who broke the world record for the most goals in a calendar year in soccer in 2012?,Cristiano Ronaldo,Neymar,Lionel Messi,Robert Lewandowski,Lionel Messi
602259,Sports & Games,Athletes & Records,Easy,600,Which tennis player has won the most Grand Slam singles titles in the Open Era (male)?,Roger Federer,Pete Sampras,Rafael Nadal,Andre Agassi,Rafael Nadal
602259,Sports & Games,Athletes & Records,Easy,600,Who holds the NBA record for the most career points scored?,Michael Jordan,Kareem Abdul-Jabbar,LeBron James,Kobe Bryant,LeBron James
602259,Sports & Games,Athletes & Records,Easy,600,Which female gymnast has won the most Olympic medals in history?,Nadia Comaneci,Simone Biles,Shannon Miller,Mary Lou Retton,Simone Biles
602259,Sports & Games,Athletes & Records,Easy,600,Who set the world record for the marathon in 2018 and still holds it as of 2023 (male)?,Kenenisa Bekele,Haile Gebrselassie,Eliud Kipchoge,Wilson Kipsang,Eliud Kipchoge
602259,Sports & Games,Athletes & Records,Easy,600,Which boxer is known for having an undefeated professional record of 50-0?,Muhammad Ali,Mike Tyson,Floyd Mayweather Jr.,Manny Pacquiao,Floyd Mayweather Jr.
602259,Sports & Games,Athletes & Records,Easy,600,Who holds the record for the most home runs in Major League Baseball history?,Babe Ruth,Hank Aaron,Barry Bonds,Alex Rodriguez,Barry Bonds
602259,Sports & Games,Athletes & Records,Easy,600,Which female tennis player has won the most Grand Slam singles titles in history?,Serena Williams,Steffi Graf,Margaret Court,Martina Navratilova,Margaret Court
