QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
915952,Academic & Education,Law,Medium,900,"Which principle ensures that no single branch of government becomes too powerful by dividing governmental powers among legislative, executive, and judicial branches?",Federalism,Separation of Powers,Judicial Review,Due Process,Separation of Powers
915952,Academic & Education,Law,Medium,900,Which of the following is NOT an essential element required for the formation of a valid contract in most jurisdictions?,Offer and Acceptance,Consideration,Written Form,Intention to Create Legal Relations,Written Form
915952,Academic & Education,Law,Medium,900,"In criminal law, the term 'mens rea' primarily refers to which of the following?",The guilty act,The motive for the crime,The guilty mind or criminal intent,The physical evidence of a crime,The guilty mind or criminal intent
915952,Academic & Education,Law,Medium,900,"To successfully establish a claim for negligence in tort law, a plaintiff must prove a duty of care, a breach of that duty, causation, and what other key element?",Strict liability,Damages,Intent to harm,Res ipsa loquitur,Damages
915952,Academic & Education,Law,Medium,900,What is the primary characteristic of a common law legal system?,It relies exclusively on codified statutes.,Judges' decisions create binding precedents.,Religious texts are the supreme source of law.,Laws are primarily made through direct popular referendums.,Judges' decisions create binding precedents.
915952,Academic & Education,Law,Medium,900,"In international law, what is the primary term for a binding formal agreement between sovereign states that creates legal obligations?",Protocol,Declaration,Treaty,Memorandum of Understanding,Treaty
915952,Academic & Education,Law,Medium,900,"In contrast to common law systems, civil law legal systems primarily derive their authority from which of the following?",Ancient tribal customs,Comprehensive codified statutes and legislation,Judicial precedents established over centuries,The rulings of religious courts,Comprehensive codified statutes and legislation
915952,Academic & Education,Law,Medium,900,Which of the following best describes 'real property'?,Movable assets such as vehicles and jewelry.,Intellectual creations like patents and copyrights.,Land and anything permanently attached to it.,Financial instruments like stocks and bonds.,Land and anything permanently attached to it.
915952,Academic & Education,Law,Medium,900,"The ethical principle requiring lawyers to keep client information confidential, making it inadmissible in court unless waived, is known as which of the following?",Duty of loyalty,Attorney-client privilege,Conflict of interest,Pro bono obligation,Attorney-client privilege
915952,Academic & Education,Law,Medium,900,Which branch of law governs the activities of administrative agencies of government and their interactions with the public?,Criminal Law,Constitutional Law,Administrative Law,Public International Law,Administrative Law
