QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
235414,Academic & Education,Computer Science,Easy,600,HTML is what type of language?,Markup Language,Macro Language,Programming Language,Scripting Language,Markup Language
235414,Academic & Education,Computer Science,Easy,600,How many values can a single byte represent?,256,8,1,1024,256
235414,Academic & Education,Computer Science,Easy,600,"In the programming language Java, which of these keywords would you put on a variable to make sure it doesn't get modified?",Final,Static,Private,Public,Final
235414,Academic & Education,Computer Science,Easy,600,"When Gmail first launched, how much storage did it provide for your email?",1GB,512MB,5GB,Unlimited,1GB
235414,Academic & Education,Computer Science,Easy,600,"In web design, what does CSS stand for?",Cascading Style Sheet,Counter Strike: Source,Corrective Style Sheet,Computer Style Sheet,Cascading Style Sheet
235414,Academic & Education,Computer Science,Easy,600,"In ""Hexadecimal"", what color would be displayed from the color code? ""#00FF00""?",Green,Red,Blue,Yellow,Green
235414,Academic & Education,Computer Science,Easy,600,What language does Node.js use?,JavaScript,Java,Java Source,Joomla Source Code,JavaScript
235414,Academic & Education,Computer Science,Easy,600,What amount of bits commonly equals one byte?,8,1,2,64,8
235414,Academic & Education,Computer Science,Easy,600,What does CPU stand for?,Central Processing Unit,Central Process Unit,Computer Personal Unit,Central Processor Unit,Central Processing Unit
235414,Academic & Education,Computer Science,Easy,600,How many kilobytes in one gigabyte (in decimal)?,1000000,1024,1000,1048576,1000000
