QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
473402,Competitive Exams,International Exams,Easy,600,"What is the full form of SAT, a widely taken international competitive exam?",Scholastic Aptitude Test,Standard Aptitude Test,Scholastic Achievement Test,Student Assessment Test,Scholastic Aptitude Test
473402,Competitive Exams,International Exams,Easy,600,Which of the following exams is required for admission into most U.S. graduate schools?,MCAT,GRE,TOEFL,LSAT,GRE
473402,Competitive Exams,International Exams,Easy,600,The IELTS exam primarily tests proficiency in which language?,French,German,English,Spanish,English
473402,Competitive Exams,International Exams,Easy,600,What does GMAT stand for in the context of business school admissions?,Graduate Management Admission Test,General Management Assessment Test,Global Management Aptitude Test,Graduate Management Assessment Test,Graduate Management Admission Test
473402,Competitive Exams,International Exams,Easy,600,Which international exam is commonly used to qualify nurses to work abroad?,NCLEX,IELTS,GRE,SAT,NCLEX
473402,Competitive Exams,International Exams,Easy,600,The LSAT exam is specifically designed for admission to what type of school?,Medical School,Law School,Business School,Engineering School,Law School
473402,Competitive Exams,International Exams,Easy,600,Which international exam is primarily for non-native English speakers who plan to study abroad?,SAT,MCAT,TOEFL,GRE,TOEFL
473402,Competitive Exams,International Exams,Easy,600,The MCAT exam is a requirement for students aiming to pursue which career?,Medicine,Law,Engineering,Business,Medicine
473402,Competitive Exams,International Exams,Easy,600,The PTE exam is used to test proficiency in which subject?,Physics,Mathematics,English Language,Economics,English Language
473402,Competitive Exams,International Exams,Easy,600,What is the primary purpose of the TOEIC exam?,Testing academic potential,Assessing English communication in a professional environment,Evaluating medical proficiency,Qualifying for graduate school,Assessing English communication in a professional environment
