QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
911849,Academic & Education,Science,Medium,900,Deuterium is an isotope of which element?,Hydrogen,Nitrogen,Helium,Neon,Hydrogen
911849,Academic & Education,Science,Medium,900,Which one of these scientists conducted the Gold Foil Experiment which concluded that atoms are mostly made of empty space?,Ernest Rutherford,Joseph John Thomson,Archimedes,Niels Henrik David Bohr,Ernest Rutherford
911849,Academic & Education,Science,Medium,900,What is the chemical symbol for lead?,Pb,Ld,Le,Pm,Pb
911849,Academic & Education,Science,Medium,900,What stage of development do the majority of eukaryotic cells remain in for most of their life?,Interphase,Prophase,Stasis,Telophase,Interphase
911849,Academic & Education,Science,Medium,900,Which psychological term refers to the stress of holding contrasting beliefs?,Cognitive Dissonance,Flip-Flop Syndrome,Split-Brain,Blind Sight,Cognitive Dissonance
911849,Academic & Education,Science,Medium,900,What is an alternative name for multiple personality disorder?,Dissociative identity disorder,Body integrity identity disorder,Identity crisis,Schizophrenia,Dissociative identity disorder
911849,Academic & Education,Science,Medium,900,What was the first living creature in space?,Fruit Flies ,Monkey,Dog,Mouse,Fruit Flies 
911849,Academic & Education,Science,Medium,900,What does the yellow diamond on the NFPA 704 fire diamond represent?,Reactivity,Health,Flammability,Radioactivity,Reactivity
911849,Academic & Education,Science,Medium,900,Which of these is NOT a part of the structure of a typical neuron?,Islets of Langerhans,Node of Ranvier,Schwann cell,Myelin sheath,Islets of Langerhans
911849,Academic & Education,Science,Medium,900,What is the largest living organism currently known to man?,Honey Fungus,Blue Whale,Redwood Tree,The Coral Reef,Honey Fungus
