QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Which of the following awards is considered the most prestigious honor in the American film industry?,Golden Globe Award,Academy Award,Screen Actors Guild Award,Critics' Choice Award,Academy Award
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Who is the youngest person to win the Grammy for Album of the Year?,Billie Eilish,Taylor Swift,Kendrick Lamar,Adele,Billie Eilish
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Which music festival is held on a dairy farm in New York?,Lollapalooza,Coachella,Woodstock,Bonaroo,Woodstock
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Which of the following actors has won the most Academy Awards for Best Actor?,Daniel Day-Lewis,Jack Nicholson,Denzel Washington,Tom Hanks,Daniel Day-Lewis
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,What is the name of the award given to recognize outstanding work in the field of science fiction and fantasy literature?,Hugo Award,Nebula Award,Pulitzer Prize,National Book Award,Hugo Award
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Which of the following film directors has won the most Oscars for Best Director?,John Ford,William Wyler,Frank Capra,Alfred Hitchcock,John Ford
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Who is the first woman to win the Grammy for Producer of the Year?,Pharrell Williams,Lauren Christy,Linda Perry,None of the above,Linda Perry
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Which of the following awards ceremonies is dedicated to honoring outstanding achievements in video games?,Game Awards,Spike Video Game Awards,Golden Joystick Awards,DICE Awards,Game Awards
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,Which musician has won the most American Music Awards?,Taylor Swift,Michael Jackson,Whitney Houston,Garth Brooks,Taylor Swift
845829,Entertainment & Pop Culture,Awards & Events,Hard,1200,"Which of the following film festivals is one of the most prestigious in the world and is held annually in Cannes, France?",Sundance Film Festival,Toronto International Film Festival,Cannes Film Festival,Berlin International Film Festival,Cannes Film Festival
