QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
696285,Business & Finance,Personal Finance,Hard,1200,"What is the future value of a $5,000 investment at an annual interest rate of 6% compounded quarterly after 5 years?","$6,500.00","$6,810.45","$6,734.27","$7,000.00",C
696285,Business & Finance,Personal Finance,Hard,1200,"Which retirement account allows for tax-free withdrawals in retirement, provided certain conditions are met?",Traditional IRA,401(k),SIMPLE IRA,Roth IRA,D
696285,Business & Finance,Personal Finance,Hard,1200,What does the Sharpe ratio measure in investment analysis?,Risk-adjusted return,Total return,Volatility,Market correlation,A
696285,Business & Finance,Personal Finance,Hard,1200,What is the typical maximum debt-to-income ratio recommended for mortgage approval under qualified mortgage rules?,28%,43%,36%,50%,B
696285,Business & Finance,Personal Finance,Hard,1200,"If the annual inflation rate is 3%, what is the purchasing power of $100 after 10 years?",$85.00,$80.00,$90.00,$74.41,D
696285,Business & Finance,Personal Finance,Hard,1200,Which type of insurance primarily covers financial losses due to liability claims?,Health insurance,Auto insurance,Liability insurance,Life insurance,C
696285,Business & Finance,Personal Finance,Hard,1200,Which factor is generally considered to have the largest weight in calculating a FICO credit score?,Length of credit history,Payment history,Credit utilization,Types of credit,B
696285,Business & Finance,Personal Finance,Hard,1200,"For individuals with irregular income, what is a fundamental strategy to manage finances effectively?",Building and maintaining an emergency fund,Adopting a strict 50/30/20 budgeting rule,Minimizing all expenses,Investing in high-risk assets,A
696285,Business & Finance,Personal Finance,Hard,1200,What is the main function of a living will in estate planning?,Designating asset beneficiaries,Appointing guardians for minors,Minimizing tax liabilities,Specifying medical treatment preferences,D
696285,Business & Finance,Personal Finance,Hard,1200,"To accumulate $1,000,000 in 30 years with an expected annual return of 4%, how much should be saved annually?","$17,825","$15,000","$20,000","$10,000",A
