QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
917678,General Knowledge,Geography,Medium,900,What continent is the country Lesotho in?,Africa,Asia,Europe,South America,Africa
917678,General Knowledge,Geography,Medium,900,The historical city Timbuktu is located in which West African country?,Niger,Senegal,Burkina Faso,Mali,Mali
917678,General Knowledge,Geography,Medium,900,The Principality of Sealand is an unrecognized micronation off the coast of what country?,Japan,The United Kingdom,Austrailia,Argentina,The United Kingdom
917678,General Knowledge,Geography,Medium,900,Which of the following countries does NOT recognize Armenia as an independent country?,Azerbaijan,Turkey,Pakistan,Iran,Pakistan
917678,General Knowledge,Geography,Medium,900,"Where is the ""Sonoran Desert"" located?",Africa,South America,Asia,North America,North America
917678,General Knowledge,Geography,Medium,900,How many time zones are in Russia?,11,8,5,2,11
917678,General Knowledge,Geography,Medium,900,"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of?",Asia,Europe,Africa,South America,Africa
917678,General Knowledge,Geography,Medium,900,What is the capital of Belarus?,Warsaw,Vilnius,Kiev,Minsk,Minsk
917678,General Knowledge,Geography,Medium,900,What is the northernmost human settlement with year round inhabitants?,"Honningsvåg, Norway","Alert, Canada","McMurdo Station, Antarctica ","Nagurskoye, Russia","Alert, Canada"
917678,General Knowledge,Geography,Medium,900,Which one of these countries borders with Poland?,Norway,Lithuania,France,Netherlands,Lithuania
