QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
192570,Sports & Games,Esports,Easy,600,What does the term 'Esports' stand for?,Electronic Sports,Extreme Sports,Elite Sports,Educational Sports,Electronic Sports
192570,Sports & Games,Esports,Easy,600,Which of these is a popular Esports game genre?,Puzzle,Multiplayer Online Battle Arena (MOBA),Simulation,Adventure,Multiplayer Online Battle Arena (MOBA)
192570,Sports & Games,Esports,Easy,600,Which game is often associated with the Esports title 'League of Legends'?,Overwatch,Dota 2,League of Legends,Counter-Strike,League of Legends
192570,Sports & Games,Esports,Easy,600,What is the primary platform for most Esports competitions?,Mobile,Console,PC,Arcade,PC
192570,Sports & Games,Esports,Easy,600,Which organization hosts the 'World Championship' for League of Legends?,Blizzard Entertainment,Valve Corporation,Epic Games,Riot Games,Riot Games
192570,Sports & Games,Esports,Easy,600,What type of game is 'Counter-Strike: Global Offensive' commonly classified as?,Real-Time Strategy,First-Person Shooter,Role-Playing Game,Racing,First-Person Shooter
192570,Sports & Games,Esports,Easy,600,Which of these games is NOT typically considered an Esports title?,Dota 2,Minecraft,Fortnite,Overwatch,Minecraft
192570,Sports & Games,Esports,Easy,600,What is a common term for a professional Esports player?,Gamer,Pro Gamer,Techie,Coder,Pro Gamer
192570,Sports & Games,Esports,Easy,600,Which event is one of the largest Esports tournaments for Dota 2?,The International,World Cyber Games,ESL One,DreamHack,The International
192570,Sports & Games,Esports,Easy,600,What skill is most important for success in Esports?,Physical Strength,Strategic Thinking,Artistic Talent,Public Speaking,Strategic Thinking
