QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,Which of the following best describes the Liskov Substitution Principle in object-oriented programming?,Derived classes must use methods from base classes.,Objects of a superclass should be replaceable with objects of subclasses without altering desirable properties.,Subclass constructors must call superclass constructors.,Superclasses should implement all methods found in their subclasses.,Objects of a superclass should be replaceable with objects of subclasses without altering desirable properties.
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,"In C++, which type of inheritance can lead to the ‘diamond problem’?",Multiple inheritance,Hierarchical inheritance,Single inheritance,Multilevel inheritance,Multiple inheritance
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,What is the primary purpose of method overloading in object-oriented programming?,Allow a subclass to override parent methods.,"Permit multiple methods with the same name, differentiated by parameter types or count.",Provide data encapsulation.,Enable dynamic method binding.,"Permit multiple methods with the same name, differentiated by parameter types or count."
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,Which design pattern provides an interface for creating families of related or dependent objects without specifying their concrete classes?,Factory Method,Abstract Factory,Observer,Builder,Abstract Factory
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,"In Java, which keyword prevents a class from being inherited?",abstract,static,final,private,final
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,Which of the following violates the principle of encapsulation?,Making all class data members public.,Using getter and setter methods.,Declaring data members as private.,Using interfaces for data access.,Making all class data members public.
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,"What is the output of the following Python code?

class A:
    def __init__(self):
        print('A')
class B(A):
    def __init__(self):
        print('B')
b = B()","A
B",B,"B
A",A,B
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,Which concept allows objects to decide at runtime which method implementation to invoke?,Polymorphism,Abstraction,Inheritance,Encapsulation,Polymorphism
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,"If a subclass in Java overrides a parent method but changes the return type to an incompatible type, what occurs?",Compile-time error,Runtime exception,Method overloads instead of overrides,Method is ignored by JVM,Compile-time error
492476,Coding & Interview Prep,Object-Oriented Programming,Hard,1200,Which of the following statements about C# interfaces is TRUE?,An interface can contain fields.,An interface cannot be inherited.,A class can implement multiple interfaces.,Interfaces can provide default method implementations.,A class can implement multiple interfaces.
