QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"If Debbie's unique identification number is the first letter of her first name followed by the first letter of her last name and then the number for which month she was born, what is Debbie's unique identification number if she was born in December?",DJ12,DH12,DM12,DD12,DM12
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"The time in New York is 7 hours ahead of the time in Denver. If it is 9 AM in Denver, what time is it in New York?",3 PM,12 PM,4 AM,4 PM,4 PM
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,What is the sum of the interior angles of a triangle?,90,180,270,360,180
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",18,20,22,28,18
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"The length and breadth of a rectangle are in the ratio 3:2. If the area of the rectangle is 48 square units, what is the length of the rectangle?",6,8,12,24,8
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,What is the value of x in the equation 3x - 2 = 14?,4,5,6,8,5
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"There are 15 students in a class. 3 students speak English, 5 speak Spanish, and 7 speak French. How many students speak only one language?",10,12,13,15,13
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"A bakery sells 480 loaves of bread per day. If they make a profit of $0.10 per loaf, what is their daily profit?",$40,$48,$50,$60,$48
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,A bus travels from point A to point B at an average speed of 40 km/h and returns from point B to point A at an average speed of 60 km/h. What is the average speed for the entire trip?,45,48,50,55,48
750638,Logical & Aptitude Reasoning,Verbal Ability,Hard,1200,"If it takes 5 machines 5 minutes to make 5 widgets, how many minutes will it take for 100 machines to make 100 widgets?",1,5,10,20,5
