QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
238446,Health & Medicine,Human Anatomy,Hard,1200,Which valve prevents backflow of blood from the aorta to the left ventricle?,Mitral valve,Aortic valve,Tricuspid valve,Pulmonary valve,B
238446,Health & Medicine,Human Anatomy,Hard,1200,What is the primary function of the myelin sheath in neurons?,To store neurotransmitters,To provide structural support,To increase the speed of nerve impulse conduction,To facilitate protein synthesis,C
238446,Health & Medicine,Human Anatomy,Hard,1200,Which bone is not part of the axial skeleton?,Femur,Vertebra,Rib,Skull,A
238446,Health & Medicine,Human Anatomy,Hard,1200,Which muscle is primarily responsible for adduction of the thigh?,Sartorius,Gluteus maximus,Biceps femoris,Adductor magnus,D
238446,Health & Medicine,Human Anatomy,Hard,1200,Where does the majority of nutrient absorption occur in the gastrointestinal tract?,Stomach,Small intestine,Large intestine,Mouth,B
238446,Health & Medicine,Human Anatomy,Hard,1200,What is the role of surfactant in the alveoli of the lungs?,To facilitate gas exchange,To trap foreign particles,To prevent collapse of alveoli,To produce mucus,C
238446,Health & Medicine,Human Anatomy,Hard,1200,Which hormone is primarily responsible for regulating blood calcium levels?,Parathyroid hormone,Insulin,Thyroxine,Cortisol,A
238446,Health & Medicine,Human Anatomy,Hard,1200,What type of cell is primarily responsible for antibody production?,Macrophages,T lymphocytes,Neutrophils,B lymphocytes,D
238446,Health & Medicine,Human Anatomy,Hard,1200,Where is the majority of urine concentration regulated in the nephron?,Proximal convoluted tubule,Distal convoluted tubule,Loop of Henle,Collecting duct,C
238446,Health & Medicine,Human Anatomy,Hard,1200,Which part of the sperm cell contains the genetic material?,Acrosome,Head,Midpiece,Tail,B
