QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
383373,Arts & Humanities,Religion & Ethics,Hard,1200,"What is the primary concept of the Buddhist philosophy that deals with the cycle of birth, death, and rebirth?",Karma,Dharma,Nirvana,Samsara,OptionD
383373,Arts & Humanities,Religion & Ethics,Hard,1200,"In Christianity, what is the name of the document that is considered to be the inspired word of God?",The Apocrypha,The Bible,The Creed,The Gospel,OptionB
383373,Arts & Humanities,Religion & Ethics,Hard,1200,Which of the following Hindu texts is considered the most sacred and authoritative?,The Mahabharata,The Ramayana,The Upanishads,The Vedas,OptionD
383373,Arts & Humanities,Religion & Ethics,Hard,1200,"In Islam, what is the name of the holy city to which Muslims turn during prayer and make a pilgrimage to at least once in their lifetime?",Mecca,Medina,Jerusalem,Baghdad,OptionA
383373,Arts & Humanities,Religion & Ethics,Hard,1200,Who is the founder of the Sikh faith?,Guru Gobind Singh,Guru Nanak,Baba Deep Singh,Banda Singh Bahadur,OptionB
383373,Arts & Humanities,Religion & Ethics,Hard,1200,"In Jainism, what is the term for the path to liberation that involves the avoidance of harm to all living beings?",Ahimsa,Karma,Dharma,Moksha,OptionA
383373,Arts & Humanities,Religion & Ethics,Hard,1200,What is the name of the Jewish holiday that commemorates the rededication of the Temple in Jerusalem during the Maccabean Revolt?,Hanukkah,Passover,Yom Kippur,Rosh Hashanah,OptionA
383373,Arts & Humanities,Religion & Ethics,Hard,1200,"In Shintoism, what is the term for the spirits or deities that are believed to inhabit the natural world?",Kami,Yokai,Oni,Tengu,OptionA
383373,Arts & Humanities,Religion & Ethics,Hard,1200,Who is the founder of the Baha'i faith?,Bab,Baha'u'llah,Abdu'l-Baha,Shoghi Effendi,OptionB
383373,Arts & Humanities,Religion & Ethics,Hard,1200,"In Taoism, what is the term for the ultimate reality or the fundamental principle of the universe?",Tao,Te,Qi,Wu-wei,OptionA
