QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
179016,Gaming,Video Games,Medium,900,Which of these Fortnite emotes does NOT involve a sport in some way?,Red Card,Baller,Freestylin',Kick Ups,Freestylin'
179016,Gaming,Video Games,Medium,900,"In the Mario series, which game introduced Mario's Backflip ability?",Donkey Kong (Gameboy),Super Mario 64,Super Mario Galaxy,Super Mario 3D Land,Donkey Kong (Gameboy)
179016,Gaming,Video Games,Medium,900,What is the name the location-based augmented reality game developed by Niantic before Pokémon GO?,Ingress,Digress,Aggress,Regress,Ingress
179016,Gaming,Video Games,Medium,900,"In the original DOOM games, which of the following demons is a recolor of the Baron of Hell, but is weaker than the Baron?",Mancubus,Arch-Vile,Hell Knight,Pinky,Hell Knight
179016,Gaming,Video Games,Medium,900,"In Call of Duty: Modern Warfare 2, how many consecutive kills does it require to earn the ""Tactical Nuke"" killstreak?",35,25,20,30,25
179016,Gaming,Video Games,Medium,900,"Along with Gabe Newell, who co-founded Valve?",Mike Harrington,Marc Laidlaw,Stephen Bahl,Robin Walker,Mike Harrington
179016,Gaming,Video Games,Medium,900,Which company developed and published Game Dev Tycoon?,Greenheart Games,MomCorp,The Tycoonists,Greenland Games,Greenheart Games
179016,Gaming,Video Games,Medium,900,"In the co-op shooter Payday 2, which contact helps you break out Hoxton?",Vlad,The Butcher,The Dentist,The Elephant,The Dentist
179016,Gaming,Video Games,Medium,900,"In ""Kingdom Hearts"", what is the name of Sora's home world?",Destiny Islands,Land of Departure,Disney Town,Agrabah,Destiny Islands
179016,Gaming,Video Games,Medium,900,"What is the main character's name in ""Braid""?",James,Jackson,Tim,Boregard,Tim
