QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
362126,Academic & Education,Medical & Health Sciences,Easy,600,What organ is responsible for pumping blood throughout the human body?,Lungs,Brain,Heart,Stomach,Heart
362126,Academic & Education,Medical & Health Sciences,Easy,600,"Which healthcare professional is often found providing direct patient care, administering medications, and educating patients?",Lawyer,Nurse,Chef,Pilot,Nurse
362126,Academic & Education,Medical & Health Sciences,Easy,600,What is considered the most important practice to prevent the spread of germs and illnesses?,Eating candy,Watching TV,Handwashing,Sleeping late,Handwashing
362126,Academic & Education,Medical & Health Sciences,Easy,600,"Which food group is a primary source of energy for the body and includes items like bread, pasta, and rice?",Fruits,Vegetables,Grains,Dairy,Grains
362126,Academic & Education,Medical & Health Sciences,Easy,600,"What is the name of the facility where people go when they are very sick, have serious injuries, or need surgery?",School,Park,Hospital,Library,Hospital
362126,Academic & Education,Medical & Health Sciences,Easy,600,Why is regular exercise important for your health?,It makes you tired.,It weakens your bones.,It strengthens your heart and muscles.,It helps you gain weight.,It strengthens your heart and muscles.
362126,Academic & Education,Medical & Health Sciences,Easy,600,Which of the five main sense organs allows us to see?,Ear,Nose,Tongue,Eye,Eye
362126,Academic & Education,Medical & Health Sciences,Easy,600,What is the immediate basic first aid action you should take for a minor cut?,Ignore it,Clean it with soap and water,Put dirt on it,Wait for it to heal on its own,Clean it with soap and water
362126,Academic & Education,Medical & Health Sciences,Easy,600,Getting enough sleep is important for your body because it primarily helps with:,Making you hungry,Repairing and refreshing your body,Making you lazy,Getting sick more often,Repairing and refreshing your body
362126,Academic & Education,Medical & Health Sciences,Easy,600,What are vaccines primarily designed to do?,Treat existing illnesses,Prevent future illnesses,Make you feel tired,Provide immediate energy,Prevent future illnesses
