QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
814018,Languages,Grammar,Hard,1200,Which of the following sentences is in the active voice?,The ball was thrown by John.,The new employee was given the task.,The manager is writing the report.,The play was performed by the students.,The manager is writing the report.
814018,Languages,Grammar,Hard,1200,Which of the following sentences uses the subjunctive mood correctly?,I suggest that he takes a break.,It is required that she be present.,I propose that they go to the movies.,The manager demands that the employee works harder.,It is required that she be present.
814018,Languages,Grammar,Hard,1200,Which of the following is an example of a misplaced modifier?,"Having studied all night, the exam was easy.",The teacher gave the student a book that was written by her.,The new policy has been met with resistance from the employees who are worried about their jobs.,The company will hire someone who is experienced and skilled.,"Having studied all night, the exam was easy."
814018,Languages,Grammar,Hard,1200,Which of the following sentences uses the present perfect tense correctly?,"I have never been to Europe, but I went last year.",She has lived in Paris for three years.,They have been married for 20 years.,I have eaten breakfast already.,She has lived in Paris for three years.
814018,Languages,Grammar,Hard,1200,Which of the following sentences uses the verb 'to lie' correctly?,The dog lays on the bed.,The books lie on the table.,She lies on the couch to take a nap.,The manager laid off several employees.,The books lie on the table.
814018,Languages,Grammar,Hard,1200,Which of the following is an example of a noun clause?,That the company is profitable is well-known.,The new policy is that employees must wear uniforms.,The fact that the employee was late was not a problem.,The manager asked the employee why he was late.,That the company is profitable is well-known.
814018,Languages,Grammar,Hard,1200,Which of the following sentences uses the passive voice correctly?,The new policy was announced by the manager.,The students are writing the report.,The play was performed by the students.,The company will hire someone who is experienced.,The new policy was announced by the manager.
814018,Languages,Grammar,Hard,1200,Which of the following is an example of a subordinate clause?,"Because it is raining, the game will be canceled.",The manager is writing the report now.,The employee was given the task to finish by the end of the day.,The company will hire someone who is experienced.,"Because it is raining, the game will be canceled."
814018,Languages,Grammar,Hard,1200,Which of the following sentences uses the infinitive phrase correctly?,The manager wants to hire someone who is experienced.,She is going to the store to buy milk.,The employee is expected to finish the task by the end of the day.,The company will hire someone that is skilled.,The manager wants to hire someone who is experienced.
814018,Languages,Grammar,Hard,1200,Which of the following is an example of a phrase fragment?,The new employee will be given the task to finish by the end of the day.,Because it is raining.,The manager is writing the report now.,The company will hire someone who is experienced.,Because it is raining.
