QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
935138,Entertainment & Pop Culture,Music,Hard,1200,Which of the following is NOT a real song from the band Thousand Foot Krutch?,Give Up The Ghost,Limitless Fury,Down,Let The Sparks Fly,Limitless Fury
935138,Entertainment & Pop Culture,Music,Hard,1200,Who recorded the 1975 album 'Captain Fantastic and the Brown Dirt Cowboy'?,Billy Joel,John Denver,Joe Cocker,Elton John,Elton John
935138,Entertainment & Pop Culture,Music,Hard,1200,"What was the name of the cold-war singer who has a song in Grand Theft Auto IV, and a wall landmark in Moscow for his memorial?",Vladimir Vysotsky,Brian Jones,Jimi Hendrix,Viktor Tsoi,Viktor Tsoi
935138,Entertainment & Pop Culture,Music,Hard,1200,"How many members are there in the idol group ""µ's""?",6,3,9,48,9
935138,Entertainment & Pop Culture,Music,Hard,1200,What is the official name of Prince's backing band?,The Revolution,The Paupers,The Wailers,The Heartbreakers,The Revolution
935138,Entertainment & Pop Culture,Music,Hard,1200,"Which of these artists did NOT remix the song ""Faded"" by Alan Walker?",Tiësto,Dash Berlin,Slushii,Skrillex,Skrillex
935138,Entertainment & Pop Culture,Music,Hard,1200,Who was the previous drummer of blink-182 before Travis Barker?,Derek Grant,Atom Willard,Ilan Rubin,Scott Raynor,Scott Raynor
935138,Entertainment & Pop Culture,Music,Hard,1200,Which band is the longest active band in the world with no breaks or line-up changes?,Rush,Radiohead,U2,Rolling Stones,U2
935138,Entertainment & Pop Culture,Music,Hard,1200,"Who wrote the song ""You Know You Like It""?",Steve Aoki,AlunaGeorge,DJ Snake,Major Lazer,AlunaGeorge
935138,Entertainment & Pop Culture,Music,Hard,1200,"What year did Dire Straits's Song ""Money for Nothing"" release?",1973,1991,1980,1985,1985
