QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
906834,Languages,Hindi,Medium,900,What is the meaning of the Hindi word 'नमस्ते'?,Goodbye,Thank you,Hello,How are you?,OptionC
906834,Languages,Hindi,Medium,900,Which of the following is a popular Hindi festival?,Christmas,Diwali,Easter,Halloween,OptionB
906834,Languages,Hindi,Medium,900,What is the Hindi word for 'father'?,माँ (Maaan),पिता (Pita),भाई (Bhai),बहन (Bahan),OptionB
906834,Languages,Hindi,Medium,900,Who is a famous Hindi poet?,Rabindranath Tagore,Khalil Gibran,Kabir,Rumi,OptionC
906834,Languages,Hindi,Medium,900,What is the meaning of the Hindi word 'धन्यवाद'?,Hello,Thank you,Goodbye,How are you?,OptionB
906834,Languages,Hindi,Medium,900,Which of the following is a Hindi dialect?,Tamil,Bengali,Awadhi,Telugu,OptionC
906834,Languages,Hindi,Medium,900,Who is the author of the famous Hindi novel 'Godaan'?,Premchand,Rabindranath Tagore,Bankim Chandra Chattopadhyay,Amrita Pritam,OptionA
906834,Languages,Hindi,Medium,900,What is the Hindi word for 'water'?,आग (Aag),पानी (Paani),हवा (Hawa),मिट्टी (Mitti),OptionB
906834,Languages,Hindi,Medium,900,Which of the following Hindi words means 'sun'?,चाँद (Chaand),सूर्य (Soorya),तारा (Taara),ग्रह (Grah),OptionB
906834,Languages,Hindi,Medium,900,What is the meaning of the Hindi word 'स्वागत'?,Goodbye,Welcome,Thank you,How are you?,OptionB
