QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
372150,Academic & Education,Humanities,Medium,900,"In Plato's *Allegory of the Cave*, what do the shadows on the wall primarily represent for the prisoners?","The true, ultimate forms of reality",Illusions and a superficial understanding of reality,Messages sent by the gods,Visions of future events,Illusions and a superficial understanding of reality
372150,Academic & Education,Humanities,Medium,900,Which Renaissance artist is celebrated for sculpting *David* and painting the ceiling of the Sistine Chapel?,Leonardo da Vinci,Raphael,Donatello,Michelangelo,Michelangelo
372150,Academic & Education,Humanities,Medium,900,"The Enlightenment philosopher who famously declared, 'Man is born free, and everywhere he is in chains,' and greatly influenced political thought with his concept of the 'social contract' was:",John Locke,Montesquieu,Jean-Jacques Rousseau,Voltaire,Jean-Jacques Rousseau
372150,Academic & Education,Humanities,Medium,900,"Which ancient Greek epic poem, attributed to Homer, recounts the events of the Trojan War, focusing particularly on the wrath of Achilles?",The Odyssey,The Aeneid,The Iliad,Oedipus Rex,The Iliad
372150,Academic & Education,Humanities,Medium,900,"Which artistic movement, characterized by small, thin, yet visible brush strokes, open composition, and an emphasis on light in its changing qualities, is exemplified by Claude Monet's *Impression, soleil levant*?",Realism,Cubism,Surrealism,Impressionism,Impressionism
372150,Academic & Education,Humanities,Medium,900,"Which philosophical school of thought posits that all knowledge ultimately comes from sensory experience, rejecting innate ideas or pure reason as primary sources?",Rationalism,Empiricism,Idealism,Dualism,Empiricism
372150,Academic & Education,Humanities,Medium,900,"The period of European history roughly spanning from the 14th to the 17th century, marked by a resurgence of interest in classical art, literature, and philosophy, is known as the:",Middle Ages,Baroque Era,Renaissance,Enlightenment,Renaissance
372150,Academic & Education,Humanities,Medium,900,"This prominent German composer and pianist of the Classical and Romantic eras continued to compose some of his most significant works, including his Ninth Symphony, even after becoming profoundly deaf. Who was he?",Wolfgang Amadeus Mozart,Johann Sebastian Bach,Ludwig van Beethoven,Franz Schubert,Ludwig van Beethoven
372150,Academic & Education,Humanities,Medium,900,"In Greek mythology, who is the goddess of wisdom, warfare, and handicrafts, often depicted with an owl and a spear, and said to have been born fully formed from the head of Zeus?",Hera,Aphrodite,Artemis,Athena,Athena
372150,Academic & Education,Humanities,Medium,900,"Which of William Shakespeare's tragedies tells the story of the Prince of Denmark seeking revenge on his uncle, Claudius, for murdering his father and marrying his mother?",Othello,Macbeth,King Lear,Hamlet,Hamlet
