QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"In Ms. Kobayashi's Dragon Maid, who is Kobayashi's maid?",Tohru,Kanna,Elma,Lucoa,Tohru
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"Satella in ""Re:Zero"" is the witch of what?",Pride,Wrath,Envy,Sloth,Envy
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,The name of Junko Enoshima's imposter at the beginning of Danganronpa: Trigger Happy Havoc is?,Komaru Naegi,Ryota Mitarai,Mukuro Ikusaba,Ultimate Imposter,Mukuro Ikusaba
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"In ""The Melancholy of Haruhi Suzumiya"" series, the SOS Brigade club leader is unknowingly treated as a(n) __ by her peers.",Alien,God,Time Traveler,Esper,God
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"Who is the colossal titan in ""Attack On Titan""?",Eren,Sasha,Reiner,Bertolt Hoover,Bertolt Hoover
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,Who is the main character with yellow hair in the anime Naruto?,Ten Ten,Sasuke,Naruto,Kakashi,Naruto
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,What is the last name of Edward and Alphonse in the Fullmetal Alchemist series.,Elric,Elwood,Eliek,Ellis,Elric
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"What is the theme song of ""Neon Genesis Evangelion""?",Stardust Crusaders,God Knows,A Cruel Angel's Thesis,Requiem for a Dream,A Cruel Angel's Thesis
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"In the anime Black Butler, who is betrothed to be married to Ciel Phantomhive?",Elizabeth Midford,Rachel Phantomhive,Angelina Dalles,Alexis Leon Midford,Elizabeth Midford
634796,Entertainment & Pop Culture,Comics & Anime,Easy,600,"In the anime ""My Hero Academia"", which character is shown with the ability to manipulate gravity?",Uraraka,Bakugo,Asui ,Deku,Uraraka
