QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,What is the primary function of the mitochondria in a cell?,Protein synthesis,Cellular respiration and energy production,DNA replication,Cell signaling,OptionB
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,Which of the following types of RNA is responsible for transferring amino acids to the ribosome during protein synthesis?,mRNA,tRNA,rRNA,snRNA,OptionB
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,What is the term for the 'building blocks of life' that are the basic structural and functional units of all living organisms?,Tissues,Organs,Cells,Molecules,OptionC
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,"Which part of the human brain plays a crucial role in regulating body temperature, hunger, and thirst?",Cerebrum,Cerebellum,Brainstem,Hypothalamus,OptionD
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,"What is the process by which water moves through a plant, from the roots to the leaves, and is then released into the air as water vapor?",Respiration,Photosynthesis,Transpiration,Evaporation,OptionC
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,Which of the following types of immune cells is responsible for directly killing infected cells or producing chemical signals that activate the immune response?,B cells,T cells,Macrophages,Neutrophils,OptionB
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,"What is the term for the movement of molecules from an area of high concentration to an area of low concentration, resulting in equal distribution?",Osmosis,Diffusion,Active transport,Passive transport,OptionB
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,Which of the following organs is responsible for filtering waste and excess fluids from the blood and regulating blood pressure?,Liver,Kidneys,Heart,Lungs,OptionB
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,What is the term for the process by which the body's immune system produces antibodies to fight off specific infections?,Active immunity,Passive immunity,Cell-mediated immunity,Humoral immunity,OptionD
403882,Health & Medicine,Medical Entrance Prep,Hard,1200,Which of the following types of cartilage is found in the joints between bones and provides cushioning and support?,Hyaline cartilage,Elastic cartilage,Fibrocartilage,Articular cartilage,OptionD
