QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
859040,Science & Innovation,Future Technologies,Hard,1200,What is the primary goal of Quantum Computing?,To develop faster internet connectivity,To create more powerful and efficient computing systems,To improve cybersecurity measures,To enhance artificial intelligence capabilities,OptionB
859040,Science & Innovation,Future Technologies,Hard,1200,Which technology is being developed to enable efficient and reliable long-distance transportation of people and goods?,Hyperloop,Self-driving cars,Advanced Maglev trains,Electric aircraft,OptionA
859040,Science & Innovation,Future Technologies,Hard,1200,What is the term for the hypothetical concept of a computer or robot that can assemble and repair its own hardware?,Artificial General Intelligence,Self-replicating machine,Swarm robotics,Soft robotics,OptionB
859040,Science & Innovation,Future Technologies,Hard,1200,Which technology is expected to revolutionize the field of biotechnology by enabling the precise editing of genes?,CRISPR-Cas9,Gene therapy,Synthetic biology,RNA interference,OptionA
859040,Science & Innovation,Future Technologies,Hard,1200,What is the term for the use of virtual and augmented reality technologies to create immersive and interactive experiences?,Extended Reality (XR),Mixed Reality (MR),Virtual Reality (VR),Augmented Reality (AR),OptionA
859040,Science & Innovation,Future Technologies,Hard,1200,Which of the following is a potential application of Brain-Computer Interfaces (BCIs)?,Treating neurological disorders,Enhancing human cognition,Controlling devices with thoughts,All of the above,OptionD
859040,Science & Innovation,Future Technologies,Hard,1200,What is the term for the next-generation wireless networking technology that promises faster data transfer rates and lower latency?,5G,6G,Li-Fi,Wi-Fi 6,OptionB
859040,Science & Innovation,Future Technologies,Hard,1200,Which technology is being developed to enable the efficient and sustainable production of energy?,Fusion energy,Advanced solar panels,Artificial photosynthesis,All of the above,OptionD
859040,Science & Innovation,Future Technologies,Hard,1200,What is the term for the use of artificial intelligence to analyze and generate human-like language?,Natural Language Processing (NLP),Machine Learning,Deep Learning,Speech Recognition,OptionA
859040,Science & Innovation,Future Technologies,Hard,1200,Which technology is expected to enable the widespread adoption of autonomous vehicles?,Advanced sensor systems,High-definition mapping,Artificial intelligence and machine learning,All of the above,OptionD
