QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
541970,Health & Medicine,Public Health,Hard,1200,What is the primary goal of epidemiology in public health?,To develop new medical treatments,To study the distribution and determinants of health-related events,To provide medical care to individuals,To conduct clinical trials,To study the distribution and determinants of health-related events
541970,Health & Medicine,Public Health,Hard,1200,Which of the following is a key component of the social determinants of health?,Access to healthcare services,Genetic predisposition to disease,Socioeconomic status,Environmental pollution,Socioeconomic status
541970,Health & Medicine,Public Health,Hard,1200,What is the name of the international health organization that coordinates global public health efforts?,World Bank,United Nations Children's Fund,World Health Organization,International Red Cross,World Health Organization
541970,Health & Medicine,Public Health,Hard,1200,Which of the following public health strategies aims to prevent disease by reducing risk factors?,Screening,Treatment,Primary prevention,Palliative care,Primary prevention
541970,Health & Medicine,Public Health,Hard,1200,"What is the term for the study of the health effects of environmental factors, such as air and water pollution?",Epidemiology,Toxicology,Environmental health,Occupational health,Environmental health
541970,Health & Medicine,Public Health,Hard,1200,Which of the following is a key principle of health promotion?,Reducing healthcare costs,Increasing access to healthcare services,Empowering individuals to take control of their health,Improving health outcomes through medical treatment,Empowering individuals to take control of their health
541970,Health & Medicine,Public Health,Hard,1200,What is the name of the framework used to analyze the causes of health inequities?,Social determinants of health framework,Health belief model,PRECEDE-PROCEED model,Commission on Social Determinants of Health framework,Commission on Social Determinants of Health framework
541970,Health & Medicine,Public Health,Hard,1200,Which of the following is a type of study design used in public health research?,Case series,Cohort study,Clinical trial,All of the above,Cohort study
541970,Health & Medicine,Public Health,Hard,1200,"What is the term for the process of planning, implementing, and evaluating public health programs?",Program management,Policy development,Public health practice,Program planning,Program planning
541970,Health & Medicine,Public Health,Hard,1200,Which of the following is a key indicator of health status in a population?,Life expectancy,Infant mortality rate,Prevalence of chronic disease,All of the above,Infant mortality rate
