QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
445508,Arts & Humanities,Psychology,Hard,1200,What is the primary goal of humanistic psychology?,To understand the unconscious mind,To develop effective treatments for mental illnesses,To help individuals realize their inherent potential and promote personal growth,To study the structure and function of the brain,OptionC
445508,Arts & Humanities,Psychology,Hard,1200,Which psychological theory suggests that behavior is shaped by external rewards and punishments?,Psychoanalytic theory,Humanistic theory,Social learning theory,Operant conditioning theory,OptionD
445508,Arts & Humanities,Psychology,Hard,1200,What is the term for the process by which we learn new behaviors by observing and imitating others?,Classical conditioning,Operant conditioning,Social learning,Cognitive development,OptionC
445508,Arts & Humanities,Psychology,Hard,1200,"Which part of the brain plays a critical role in regulating emotions, such as fear and aggression?",Cerebral cortex,Cerebellum,Brainstem,Amygdala,OptionD
445508,Arts & Humanities,Psychology,Hard,1200,What is the term for the tendency to overestimate the importance of information that is readily available?,Confirmation bias,Anchoring bias,Availability heuristic,Hindsight bias,OptionC
445508,Arts & Humanities,Psychology,Hard,1200,Who is credited with developing the theory of cognitive development that proposes children progress through a series of stages?,Sigmund Freud,Jean Piaget,Lev Vygotsky,Urie Bronfenbrenner,OptionB
445508,Arts & Humanities,Psychology,Hard,1200,What is the term for the process by which our thoughts and feelings influence our perceptions of the world?,Top-down processing,Bottom-up processing,Lateral thinking,Critical thinking,OptionA
445508,Arts & Humanities,Psychology,Hard,1200,Which psychological disorder is characterized by a pervasive pattern of disregard for the rights of others and a lack of empathy?,Antisocial personality disorder,Borderline personality disorder,Narcissistic personality disorder,Avoidant personality disorder,OptionA
445508,Arts & Humanities,Psychology,Hard,1200,What is the term for the phenomenon where people tend to remember the first and last items in a series better than the items in the middle?,Serial position effect,Primacy effect,Recency effect,Von Restorff effect,OptionA
445508,Arts & Humanities,Psychology,Hard,1200,Who is credited with developing the psychoanalytic theory that proposes human behavior is influenced by the unconscious mind?,Carl Jung,Sigmund Freud,Alfred Adler,Erik Erikson,OptionB
