QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
688069,Academic & Education,Engineering,Medium,900,What property describes a material's ability to deform plastically without fracturing?,Hardness,Stiffness,Ductility,Brittleness,Ductility
688069,Academic & Education,Engineering,Medium,900,"In a purely resistive AC circuit, what is the phase relationship between voltage and current?",Voltage leads current by 90 degrees,Current leads voltage by 90 degrees,Voltage and current are in phase,Voltage and current are 180 degrees out of phase,Voltage and current are in phase
688069,Academic & Education,Engineering,Medium,900,"Which fundamental principle states that for an object to be in static equilibrium, the sum of all forces and moments acting on it must be zero?",Hooke's Law,Archimedes' Principle,Principle of Superposition,Conditions for Static Equilibrium,Conditions for Static Equilibrium
688069,Academic & Education,Engineering,Medium,900,Which type of heat transfer involves the movement of fluid (liquid or gas)?,Conduction,Convection,Radiation,Advection,Convection
688069,Academic & Education,Engineering,Medium,900,What is the primary function of rebar (reinforcing bar) in concrete structures?,To increase the concrete's compressive strength,To prevent the concrete from shrinking,To improve the concrete's tensile strength,To reduce the overall weight of the structure,To improve the concrete's tensile strength
688069,Academic & Education,Engineering,Medium,900,What is the purpose of a P&ID (Piping and Instrumentation Diagram) in process engineering?,To provide a schedule for project construction phases.,"To detail the logical and functional relationships of piping, instrumentation, and system equipment.",To calculate the material costs for a plant.,To simulate fluid dynamics within a pipeline.,"To detail the logical and functional relationships of piping, instrumentation, and system equipment."
688069,Academic & Education,Engineering,Medium,900,"In computer science, what is an algorithm?",A type of computer memory.,A programming language.,A step-by-step procedure for solving a problem or accomplishing a task.,A graphical user interface element.,A step-by-step procedure for solving a problem or accomplishing a task.
688069,Academic & Education,Engineering,Medium,900,"During the engineering design process, what phase typically involves generating multiple potential solutions without immediate judgment?",Problem Definition,Concept Generation (Ideation),Prototyping,Testing and Evaluation,Concept Generation (Ideation)
688069,Academic & Education,Engineering,Medium,900,What does 'BOD' stand for in the context of wastewater treatment and environmental engineering?,Biological Oxygen Demand,Biochemical Oxidation Dynamics,Bacterial Organic Decomposition,Basic Oxygen Dissolved,Biological Oxygen Demand
688069,Academic & Education,Engineering,Medium,900,Which electronic component is primarily used to store electrical energy in an electric field?,Resistor,Inductor,Transistor,Capacitor,Capacitor
