QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,What is the primary function of the nutrient Choline in the human body?,To act as an antioxidant,To aid in the synthesis of neurotransmitters,To regulate blood sugar levels,To maintain healthy bone density,OptionB
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,Which of the following types of dietary fat is most associated with increased risk of cardiovascular disease?,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Trans fat,OptionD
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,"What is the term for the ability of the body to use insulin effectively, thereby maintaining healthy blood glucose levels?",Insulin sensitivity,Glucose tolerance,Metabolic rate,Glycemic control,OptionA
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,"Which nutrient plays a crucial role in maintaining healthy connective tissue, including skin, bones, and joints?",Vitamin C,Vitamin D,Calcium,Iron,OptionA
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,What is the recommended daily intake of fiber for adults to maintain healthy digestion and bowel function?,10-15 grams,25-30 grams,30-35 grams,40-50 grams,OptionB
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,Which type of exercise is most effective for improving cardiovascular health and increasing endurance?,High-Intensity Interval Training (HIIT),Resistance training,Flexibility exercises,Aerobic exercise,OptionD
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,"What is the term for the condition in which the body's energy needs are not being met, resulting in weight loss and fatigue?",Malnutrition,Starvation,Cachexia,Dehydration,OptionA
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,Which nutrient is essential for the production of red blood cells and the prevention of anemia?,Vitamin B12,Folate,Iron,Vitamin C,OptionC
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,What is the term for the measure of the body's ability to regulate its internal temperature during exercise?,Thermoregulation,Hydration,Electrolyte balance,Cardiovascular endurance,OptionA
958517,Health & Medicine,Nutrition & Fitness,Hard,1200,Which of the following is a potential health risk associated with excessive protein intake?,Kidney damage,Liver damage,Nutrient deficiencies,Increased risk of osteoporosis,OptionA
