QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
642595,Competitive Exams,Defence Exams,Medium,900,Which of the following organizations is responsible for ensuring the external security of India?,Central Reserve Police Force,Indian Army,Border Security Force,Indian Air Force,Indian Army
642595,Competitive Exams,Defence Exams,Medium,900,What is the primary role of the Indian Navy in terms of national defense?,Control the airspace,Prevent external aggression through waters,Protect borders on land,Operate nuclear weapons,Prevent external aggression through waters
642595,Competitive Exams,Defence Exams,Medium,900,The Chiefs of Staff Committee is comprised of the senior military leaders from which services?,"Army, Navy, and Air Force",Army and Air Force only,Army and Navy only,Air Force and Navy only,"Army, Navy, and Air Force"
642595,Competitive Exams,Defence Exams,Medium,900,Which missile is often referred to as India's first indigenous beyond-visual-range air-to-air missile?,Prithvi,Akash,Nirbhay,Astra,Astra
642595,Competitive Exams,Defence Exams,Medium,900,Which aircraft is considered the backbone of the Indian Air Force's fighter fleet?,Sukhoi Su-30MKI,Tejas LCA,Rafale,MiG-29,Sukhoi Su-30MKI
642595,Competitive Exams,Defence Exams,Medium,900,Who is recognized as the Supreme Commander of the Indian Armed Forces?,Prime Minister of India,Chief of Defense Staff,President of India,Defense Minister of India,President of India
642595,Competitive Exams,Defence Exams,Medium,900,In which year was the Border Security Force (BSF) formed?,1962,1965,1971,1958,1965
642595,Competitive Exams,Defence Exams,Medium,900,Which defense exercise is conducted jointly by all three Indian Armed Forces?,DefExpo,Operation Parakram,Exercise Indra,Exercise Vijay Prahar,Exercise Indra
642595,Competitive Exams,Defence Exams,Medium,900,"What is the full form of DRDO, the premier defense research organization in India?",Defense Reserve Development Organization,Development Research and Defense Options,Defense Research and Development Organization,Development of Radar and Defense Operations,Defense Research and Development Organization
642595,Competitive Exams,Defence Exams,Medium,900,"INS Vikrant, commissioned in 2022, is operated by which Indian Armed Force?",Indian Army,Border Security Force,Indian Navy,Indian Air Force,Indian Navy
