QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,Which of the following is an essential characteristic of a good teacher?,Patience,Strictness,Indifference,Bias,Patience
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,What is the primary purpose of education?,To enforce discipline,To develop critical thinking,To provide economic stability,To promote social inequality,To develop critical thinking
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,Which of the following aids in the effective teaching of a subject?,Ignoring students' doubts,Using appropriate teaching materials,Depending solely on textbooks,Focusing only on bright students,Using appropriate teaching materials
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,Which learning style is associated with hands-on activities?,Kinesthetic,Auditory,Visual,Linguistic,Kinesthetic
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,What is the role of formative assessment in education?,Grading students semester-wise,Monitoring progress during learning,Finalizing marks for certificates,Comparing students against peers,Monitoring progress during learning
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,Which method is regarded as 'learner-centered'?,Lecture method,Project-based learning,Dictation method,Rote learning,Project-based learning
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,What is the importance of teaching aids in classrooms?,To make the lesson more engaging,To increase the teacher's workload,To reduce classroom interaction,To eliminate individual evaluation,To make the lesson more engaging
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,Which of the following best describes inclusive education?,Education for all students regardless of their abilities,Education focusing only on high achievers,Education arranged exclusively for differently-abled students,Education that discourages diversity,Education for all students regardless of their abilities
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,Which approach is best aligned with active learning?,Encouraging student participation,Reading textbook chapters aloud,Giving lengthy lectures continuously,Ignoring student feedback,Encouraging student participation
648443,Competitive Exams,Teaching Eligibility Exams,Easy,600,What is the benefit of collaborative learning?,Promotes teamwork and social skills,Discourages independent thinking,Decreases peer communication,Creates only individual competition,Promotes teamwork and social skills
