QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
532726,Health & Medicine,Human Anatomy,Medium,900,Which blood vessel carries deoxygenated blood from the heart to the lungs?,Aorta,Pulmonary artery,Vena cava,Pulmonary vein,B
532726,Health & Medicine,Human Anatomy,Medium,900,Which bone is commonly known as the kneecap?,Fibula,Tibia,Patella,Femur,C
532726,Health & Medicine,Human Anatomy,Medium,900,What is the main function of the small intestine in the digestive system?,Storage of food,Production of bile,Absorption of nutrients,Mechanical digestion,C
532726,Health & Medicine,Human Anatomy,Medium,900,Which part of the brain is responsible for regulating balance and coordination?,Cerebellum,Cerebrum,Brainstem,Hypothalamus,A
532726,Health & Medicine,Human Anatomy,Medium,900,What is the primary role of red blood cells in the body?,Fight infection,Carry oxygen,Clot blood,Produce antibodies,B
532726,Health & Medicine,Human Anatomy,Medium,900,Which gland is known as the 'master gland' because it controls other glands?,Thyroid,Adrenal,Pituitary,Pineal,C
532726,Health & Medicine,Human Anatomy,Medium,900,What is the function of the alveoli in the respiratory system?,Trap dust,Warm air,Produce sound,Gas exchange,D
532726,Health & Medicine,Human Anatomy,Medium,900,Which muscle is primarily responsible for the process of breathing?,Diaphragm,Biceps,Quadriceps,Triceps,A
532726,Health & Medicine,Human Anatomy,Medium,900,What does the pancreas produce to help regulate blood sugar levels?,Estrogen,Insulin,Adrenaline,Testosterone,B
532726,Health & Medicine,Human Anatomy,Medium,900,Which part of the eye is responsible for detecting light and color?,Lens,Cornea,Retina,Iris,C
