QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
650800,Technology & Computing,Cyber Security,Hard,1200,Which of the following is a technique used by attackers to trick users into providing sensitive information?,Phishing,Encryption,Firewalling,Sandboxing,Phishing
650800,Technology & Computing,Cyber Security,Hard,1200,What is the primary purpose of a honeypot in cybersecurity?,Encrypting sensitive data,Attracting and identifying attackers,Preventing malware from executing,Scanning for open ports,Attracting and identifying attackers
650800,Technology & Computing,Cyber Security,Hard,1200,"In cryptography, what does the term 'non-repudiation' mean?",Preventing unauthorized access to resources,Ensuring data cannot be altered without detection,Ensuring a sender cannot deny having sent a message,Authenticating user credentials,Ensuring a sender cannot deny having sent a message
650800,Technology & Computing,Cyber Security,Hard,1200,What does the acronym DDoS stand for in the context of cybersecurity?,Distributed Denial of Service,Dynamic Data Organization System,Data-Driven Online Security,Domain Defamation on Servers,Distributed Denial of Service
650800,Technology & Computing,Cyber Security,Hard,1200,Which of the following is a widely used hashing algorithm for password storage?,ECC,RSA,SHA-256,DES,SHA-256
650800,Technology & Computing,Cyber Security,Hard,1200,Which cybersecurity concept ensures that data is only accessible to authorized personnel?,Availability,Integrity,Confidentiality,Authentication,Confidentiality
650800,Technology & Computing,Cyber Security,Hard,1200,What does the term 'zero-day vulnerability' refer to?,A vulnerability that has been patched immediately upon discovery,A vulnerability discovered by ethical hackers,A vulnerability exploited before it is publicly disclosed,A vulnerability reported after 30 days of detection,A vulnerability exploited before it is publicly disclosed
650800,Technology & Computing,Cyber Security,Hard,1200,Which protocol is primarily used to encrypt web traffic and ensure secure communication?,FTP,HTTP,SSL/TLS,SSH,SSL/TLS
650800,Technology & Computing,Cyber Security,Hard,1200,Which tool is commonly used for network penetration testing?,Kali Linux,C++,Wireshark,Python,Kali Linux
650800,Technology & Computing,Cyber Security,Hard,1200,What is the function of a public key in asymmetric encryption?,Decrypt messages encrypted with the private key,Encrypt messages that can only be decrypted with the private key,Act as a substitute for a symmetric key,Perform hash calculations,Encrypt messages that can only be decrypted with the private key
