QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
647940,Languages,English,Easy,600,Which word is a synonym for 'big'?,Small,Large,Old,Fast,Large
647940,Languages,English,Easy,600,What is the opposite of 'hot'?,Cold,Warm,Sunny,Boiling,Cold
647940,Languages,English,Easy,600,Which of the following is a verb?,Run,Happy,Dog,Sun,Run
647940,Languages,English,Easy,600,What is the plural form of 'tooth'?,Tooth,Teeth,Toothes,Toothy,Teeth
647940,Languages,English,Easy,600,Which word is an adjective?,Jump,Book,Beautiful,Friend,Beautiful
647940,Languages,English,Easy,600,What is the past tense of 'go'?,Go,Going,Went,Gone,Went
647940,Languages,English,Easy,600,Which of the following is a pronoun?,He,Run,Big,Car,He
647940,Languages,English,Easy,600,What is the comparative form of 'good'?,Good,Better,Best,Gooder,Better
647940,Languages,English,Easy,600,Which word is a preposition?,In,Happy,Dog,Run,In
647940,Languages,English,Easy,600,What is the meaning of the word 'hello'?,A greeting,A farewell,A question,A statement,A greeting
