QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
262622,Academic & Education,Mathematics,Easy,600,What prime number comes next after 19?,23,25,21,27,23
262622,Academic & Education,Mathematics,Easy,600,How many sides does a heptagon have?,7,8,6,5,7
262622,Academic & Education,Mathematics,Easy,600,"The metric prefix ""atto-"" makes a measurement how much smaller than the base unit?",One Quintillionth,One Billionth,One Quadrillionth,One Septillionth,One Quintillionth
262622,Academic & Education,Mathematics,Easy,600,How many sides does a trapezium have?,4,3,5,6,4
262622,Academic & Education,Mathematics,Easy,600,What's the square root of 49?,7,4,12,9,7
262622,Academic & Education,Mathematics,Easy,600,What is the symbol for Displacement?,Δr,dr,Dp,r,Δr
262622,Academic & Education,Mathematics,Easy,600,What is the correct order of operations for solving equations?,"Parentheses, Exponents, Multiplication, Division, Addition, Subtraction","Addition, Multiplication, Division, Subtraction, Addition, Parentheses","Parentheses, Exponents, Addition, Substraction, Multiplication, Division",The order in which the operations are written.,"Parentheses, Exponents, Multiplication, Division, Addition, Subtraction"
262622,Academic & Education,Mathematics,Easy,600,What is the equation for the area of a sphere?,(4/3)πr^3,4πr^2,(1/3)πhr^2,πr^4,(4/3)πr^3
262622,Academic & Education,Mathematics,Easy,600,What type of angle is greater than 90°?,Obtuse,Acute,Right,Straight,Obtuse
262622,Academic & Education,Mathematics,Easy,600,"In Roman Numerals, what does XL equate to?",40,60,15,90,40
