QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
898498,Gaming,Game Development,Easy,600,"In Divinity: Original Sin II, what is the name of the skeletal origin character?",Lohse,There are no skeletal origin characters,The Red Prince,Fane,Fane
898498,Gaming,Game Development,Easy,600,Gordon Freeman is said to have burnt and destroyed what food in the break room microwave?,Pepperoni Pizza,Casserole,Sub Sandwich,Chicken Soup,Casserole
898498,Gaming,Game Development,Easy,600,Which eSports team came first place in The International Dota 2 Championship 2016?,Digital Chaos,Wings Gaming,Evil Geniuses,Fnatic,Wings Gaming
898498,Gaming,Game Development,Easy,600,"In the lore of the PAYDAY series, which criminal was arrested and then latered rescued by the PAYDAY gang?",Wolf,Hoxton,Dallas,Chains,Hoxton
898498,Gaming,Game Development,Easy,600,"When was the top-down online RPG ""Space Station 13"" released?",2003,2000,2006,2010,2003
898498,Gaming,Game Development,Easy,600,Who is the main protagonist in the game Life is Strange: Before The Storm?,Frank Bowers,Rachel Amber,Max Caulfield,Chloe Price ,Chloe Price 
898498,Gaming,Game Development,Easy,600,"What was the first game in the ""Battlefield"" series?",Battlefield 2,Battlefield Vietnam,Battlefield 1942,Battlefield 1,Battlefield 1942
898498,Gaming,Game Development,Easy,600,"What is the hardest possible difficulty in ""Deus Ex: Mankind Divided""?",I Never Asked For This,Nightmare,Extreme,Guru,I Never Asked For This
898498,Gaming,Game Development,Easy,600,"In what year was the first ""Mass Effect"" game released?",2008,2009,2010,2007,2007
898498,Gaming,Game Development,Easy,600,"In which mall does ""Dead Rising"" take place?",Twin Pines Mall,Liberty Mall,Central Square Shopping Center,Willamette Parkview Mall,Willamette Parkview Mall
