QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,What is the most effective way to handle an underperforming team member?,Provide constant feedback,Give them more autonomy,Develop a performance improvement plan,Monitor their activities closely,OptionC
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,How would you handle a conflict between two team members?,Intervene immediately to resolve the issue,Allow them to resolve the issue on their own,Hold a team meeting to discuss the issue,Meet with each employee separately to understand their perspective,OptionD
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,What is the primary goal of a performance review?,To evaluate the employee's salary,To provide feedback on their job performance,To discuss career development opportunities,To terminate underperforming employees,OptionB
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,How would you approach diversity and inclusion in the workplace?,Implement a zero-tolerance policy for discrimination,Provide training on unconscious bias,Celebrate diverse holidays and events,Establish a diverse interview panel,OptionB
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,What is the best way to communicate a company-wide change?,Send a company-wide email,Hold a town hall meeting,Share information through a company intranet,Have managers communicate the change to their teams,OptionB
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,How do you prioritize tasks and manage your time effectively?,Use a to-do list and prioritize tasks based on urgency,Delegate tasks to team members,Focus on one task at a time to minimize distractions,Use a project management tool to track progress,OptionA
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,What is the importance of continuous learning in the workplace?,To stay up-to-date with industry trends,To improve job performance and efficiency,To enhance career development opportunities,To reduce employee turnover,OptionC
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,How would you handle an employee's request for a flexible work arrangement?,Deny the request to maintain consistency,Approve the request to boost employee morale,Discuss the request and explore possible solutions,Require a doctor's note to support the request,OptionC
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,What is the key to building a high-performing team?,Hire employees with similar backgrounds and experiences,Foster a culture of innovation and creativity,Provide opportunities for growth and development,Establish clear goals and expectations,OptionD
968655,Coding & Interview Prep,HR Interview Questions,Medium,900,How do you measure the success of an HR initiative?,Conduct regular employee surveys,Track key performance indicators (KPIs),Monitor employee turnover rates,Evaluate the initiative's impact on business outcomes,OptionD
