QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
572361,General Knowledge,Indian Polity,Medium,900,The Constitution of India was adopted by the Constituent Assembly on which date?,15 August 1947,26 January 1950,26 November 1949,2 October 1948,C
572361,General Knowledge,Indian Polity,Medium,900,Which article of the Indian Constitution deals with the Right to Equality?,Article 19,Article 21,Article 14,Article 32,C
572361,General Knowledge,Indian Polity,Medium,900,"The maximum strength of the Lok Sabha, as per the Constitution, is:",545,552,540,550,D
572361,General Knowledge,Indian Polity,Medium,900,Who was the first woman judge of the Supreme Court of India?,Fathima Beevi,Ruma Pal,Sujata Manohar,Leila Seth,A
572361,General Knowledge,Indian Polity,Medium,900,The concept of single citizenship in India is borrowed from which country's constitution?,United States,Canada,Australia,United Kingdom,D
572361,General Knowledge,Indian Polity,Medium,900,The power to increase the number of judges in the Supreme Court is vested in:,The President of India,The Chief Justice of India,The Parliament,The Law Commission,C
572361,General Knowledge,Indian Polity,Medium,900,Which of the following is NOT a feature of the Indian Constitution?,Federalism,Presidential form of government,Parliamentary sovereignty,Secularism,B
572361,General Knowledge,Indian Polity,Medium,900,The term of office for the Vice-President of India is:,4 years,6 years,5 years,7 years,C
572361,General Knowledge,Indian Polity,Medium,900,Who first proposed the idea of a Constituent Assembly for India?,Mahatma Gandhi,Jawaharlal Nehru,M.N. Roy,Dr. B.R. Ambedkar,C
572361,General Knowledge,Indian Polity,Medium,900,The head of the state in India is the:,Prime Minister,Chief Justice of India,President,Speaker of Lok Sabha,C
