QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
452991,Arts & Humanities,Psychology,Medium,900,Who is known as the father of psychology?,Sigmund Freud,William James,Wilhelm Wundt,B.F. Skinner,Wilhelm Wundt
452991,Arts & Humanities,Psychology,Medium,900,Which part of the brain plays a crucial role in regulating emotions?,Cerebellum,Cerebrum,Amygdala,Brainstem,Amygdala
452991,Arts & Humanities,Psychology,Medium,900,What is the term for the process by which we learn new behaviors by observing others?,Classical Conditioning,Operant Conditioning,Social Learning,Cognitive Development,Social Learning
452991,Arts & Humanities,Psychology,Medium,900,Who developed the theory of cognitive development that proposes children progress through four stages of development?,Lev Vygotsky,Jean Piaget,Urie Bronfenbrenner,Erik Erikson,Jean Piaget
452991,Arts & Humanities,Psychology,Medium,900,What is the term for the phenomenon where people tend to overestimate the importance of information that is readily available?,Confirmation Bias,Anchoring Bias,Availability Heuristic,Hindsight Bias,Availability Heuristic
452991,Arts & Humanities,Psychology,Medium,900,"Which psychologist is known for his work on the structure of personality, including the concept of the 'big five' traits?",Gordon Allport,Hans Eysenck,Raymond Cattell,Paul Costa,Paul Costa
452991,Arts & Humanities,Psychology,Medium,900,"What is the term for the process by which we attribute human-like qualities to non-human entities, such as objects or animals?",Anthropomorphism,Attribution Theory,Cognitive Dissonance,Emotional Intelligence,Anthropomorphism
452991,Arts & Humanities,Psychology,Medium,900,"Who developed the theory of psychosexual development, which proposes that personality is shaped by the resolution of conflicts between conscious and unconscious forces?",Carl Jung,Sigmund Freud,Alfred Adler,Karen Horney,Sigmund Freud
452991,Arts & Humanities,Psychology,Medium,900,What is the term for the tendency to remember the first and last items in a series better than the items in the middle?,Primacy Effect,Recency Effect,Serial Position Effect,Zeigarnik Effect,Serial Position Effect
452991,Arts & Humanities,Psychology,Medium,900,"Which psychologist is known for his work on the concept of 'flow,' which refers to a state of complete absorption in an activity?",Mihaly Csikszentmihalyi,Abraham Maslow,Carl Rogers,Victor Frankl,Mihaly Csikszentmihalyi
