QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
748684,Fun & Casual,Trivia,Hard,1200,"Going by the International Code of Signals, which single flag is interpreted as ""I require assistance (not distress)""?",Papa,Kilo,Victor,Delta,Victor
748684,Fun & Casual,Trivia,Hard,1200,"Which church's interior in Vatican City was designed in 1503 by renaissance architects including Bramante, Michelangelo and Bernini?",St. Peter's Basilica,The Duomo of Florence,Catania Cathedral,St. Mark’s Basilica,St. Peter's Basilica
748684,Fun & Casual,Trivia,Hard,1200,"What is the romanized Arabic word for ""moon""?",Kawkab,Qamar,Shams,Najma,Qamar
748684,Fun & Casual,Trivia,Hard,1200,Disney's Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,Gus,Phineas,Harry,Ezra,Harry
748684,Fun & Casual,Trivia,Hard,1200,Sciophobia is the fear of what?,Bright lights,Shadows,Eating,Transportation,Shadows
748684,Fun & Casual,Trivia,Hard,1200,What year was Queen Elizabeth II born?,1926,1923,1929,1930,1926
748684,Fun & Casual,Trivia,Hard,1200,What was Bank of America originally established as?,Bank of Italy,Bank of Charlotte,Bank of Long Island,Bank of Pennsylvania,Bank of Italy
748684,Fun & Casual,Trivia,Hard,1200,Which of the following chemicals are found in eggplant seeds?,Psilocybin,Cyanide,Mescaline,Nicotine,Nicotine
748684,Fun & Casual,Trivia,Hard,1200,"According to Fair Works Australia, how long do you have to work to get Long Service Leave?",7 years,8 years,2 years,6 months,7 years
748684,Fun & Casual,Trivia,Hard,1200,"Which of the following is an existing family in ""The Sims""?",The Family,The Proud Family,The Simoleon Family,The Goth Family,The Goth Family
