QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
534665,Entertainment & Pop Culture,Movies,Easy,600,Which film has been critically regarded as the best film of all time?,Citizen Kane,The Room,Avatar,The Godfather Part II,Citizen Kane
534665,Entertainment & Pop Culture,Movies,Easy,600,What historical time period was the center of the Assassin’s Creed movie (2016)?,Spanish Inquisition,French Revolution,Colonial America,Victorian England,Spanish Inquisition
534665,Entertainment & Pop Culture,Movies,Easy,600,"What was the title of the first Bond movie, released in 1962?",Thunderball,Goldfinger,From Russia with Love,Dr. No,Dr. No
534665,Entertainment & Pop Culture,Movies,Easy,600,"What is the orange and white bot's name in ""Star Wars: The Force Awakens""?",R2-D2,BB-3,BB-8,AA-A,BB-8
534665,Entertainment & Pop Culture,Movies,Easy,600,The Queen song `A Kind Of Magic` is featured in which 1986 film?,Highlander,Howard the Duck,Flash Gordon,Labyrinth,Highlander
534665,Entertainment & Pop Culture,Movies,Easy,600,"In Big Hero 6, what fictional city is the Big Hero 6 from?",Sankyo,Tokysisco,San Fransokyo,San Tokyo,San Fransokyo
534665,Entertainment & Pop Culture,Movies,Easy,600,Which actor plays Obi-Wan Kenobi in Star Wars Episodes I-III?,Alec Guinness,Ewan McGregor,Liam Neeson,Hayden Christensen,Ewan McGregor
534665,Entertainment & Pop Culture,Movies,Easy,600,"In ""ALF"", what was ALF's real name?",Gordon Milipp,Gordon Shumway,Gordon Foster,Gordon von Gam,Gordon Shumway
534665,Entertainment & Pop Culture,Movies,Easy,600,Which of these movies did Jeff Bridges not star in?,True Grit,Tron: Legacy,The Giver,The Hateful Eight,The Hateful Eight
534665,Entertainment & Pop Culture,Movies,Easy,600,"In the movie ""Blade Runner"", what is the term used for human-like androids ?",Replicants,Skinjobs,Cylons,Synthetics,Replicants
