QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which manga series is set in the fictional town of Karakura?,Naruto,Bleach,One Piece,Fullmetal Alchemist,Bleach
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,"Which Anime character is known for saying 'It's over 9,000!'?",Goku,Naruto Uzumaki,Light Yagami,Vegeta,Vegeta
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which comic book superhero is also known as the 'Man of Steel'?,Batman,Spider-Man,Superman,The Flash,Superman
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,"In the Anime series 'Attack on Titan', what are the giant humanoid creatures called?",Titans,Giants,Monsters,Beasts,Titans
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which manga series is written and illustrated by Eiichiro Oda?,Naruto,Bleach,One Piece,Fullmetal Alchemist,One Piece
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which comic book character's secret identity is Bruce Wayne?,Superman,Spider-Man,The Flash,Batman,Batman
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,"In the Anime series 'Dragon Ball Z', what is the name of Goku's planet of origin?",Earth,Vegeta,Saiyan,Namek,Saiyan
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which manga series is set in a world where alchemy is a science?,Fullmetal Alchemist,Naruto,Bleach,One Piece,Fullmetal Alchemist
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which Anime character is a pirate and the main protagonist of the series 'One Piece'?,Roronoa Zoro,Sanji,Usopp,Monkey D. Luffy,Monkey D. Luffy
217605,Entertainment & Pop Culture,Comics & Anime,Medium,900,Which comic book superhero is also known as the 'Web-Slinger'?,Batman,Superman,The Flash,Spider-Man,Spider-Man
