QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
673904,Lifestyle & Society,Relationships,Easy,600,What is the term for a person you are in a romantic relationship with?,Friend,Partner,Colleague,Acquaintance,OptionB
673904,Lifestyle & Society,Relationships,Easy,600,What is the primary goal of a healthy relationship?,To control the other person,To maintain independence,To mutually support and care for each other,To avoid being alone,OptionC
673904,Lifestyle & Society,Relationships,Easy,600,Which of the following is a sign of a toxic relationship?,Mutual respect,Trust,Emotional manipulation,Open communication,OptionC
673904,Lifestyle & Society,Relationships,Easy,600,What is the term for a relationship where both partners are not married?,Marriage,Partnership,Dating,Common-law,OptionC
673904,Lifestyle & Society,Relationships,Easy,600,How often should you communicate with your partner in a relationship?,Constantly,Rarely,As needed,Never,OptionC
673904,Lifestyle & Society,Relationships,Easy,600,What is important for resolving conflicts in a relationship?,Being right,Winning the argument,Active listening,Ignoring the issue,OptionC
673904,Lifestyle & Society,Relationships,Easy,600,What is a key component of a strong and healthy friendship?,Competition,Trust,Jealousy,Distrust,OptionB
673904,Lifestyle & Society,Relationships,Easy,600,What does 'personal space' mean in the context of relationships?,The physical distance between two people,The time spent apart from a partner,The right to make individual decisions,All of the above,OptionD
673904,Lifestyle & Society,Relationships,Easy,600,How can you show appreciation to your partner?,By doing chores for them,By giving them space,By surprise gifts or gestures,All of the above,OptionD
673904,Lifestyle & Society,Relationships,Easy,600,What is a benefit of having a diverse social network?,It can lead to conflicts,It can provide different perspectives and support,It can be overwhelming,It can be expensive,OptionB
