QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
131322,Lifestyle & Society,Food & Cuisine,Medium,900,Which popular Italian dessert translates to 'pick-me-up'?,Tiramisu,Panna cotta,Cannoli,Gelato,A) Tiramisu
131322,Lifestyle & Society,Food & Cuisine,Medium,900,What is the main ingredient in a traditional hummus dip?,Avocado,Chickpeas,Lentils,Black beans,B) Chickpeas
131322,Lifestyle & Society,Food & Cuisine,Medium,900,Which type of coffee is made by forcing pressurized hot water through finely ground coffee beans?,Drip coffee,French press,Espresso,Cold brew,C) Espresso
131322,Lifestyle & Society,Food & Cuisine,Medium,900,What is the name of the popular Indian flatbread?,Naan,Roti,Bhatura,Paratha,A) Naan
131322,Lifestyle & Society,Food & Cuisine,Medium,900,Which popular Chinese dish is named after a type of Chinese cooking wine?,Kung Pao chicken,Beef Wellington,Peking duck,Shao Xing chicken,D) Shao Xing chicken
131322,Lifestyle & Society,Food & Cuisine,Medium,900,What is the primary ingredient in a traditional tabbouleh salad?,Cucumber,Tomato,Parsley,Onion,C) Parsley
131322,Lifestyle & Society,Food & Cuisine,Medium,900,"Which popular dessert is believed to have originated in the city of Siena, Italy?",Tiramisu,Cannoli,Panna cotta,Panforte,D) Panforte
131322,Lifestyle & Society,Food & Cuisine,Medium,900,What is the name of the popular Japanese noodle soup dish?,Udon,Ramen,Soba,Tempura,B) Ramen
131322,Lifestyle & Society,Food & Cuisine,Medium,900,Which type of pastry is typically used to make croissants?,Puff pastry,Shortcrust pastry,Flaky pastry,Phyllo pastry,C) Flaky pastry
131322,Lifestyle & Society,Food & Cuisine,Medium,900,What is the name of the popular Mexican dish consisting of a fried tortilla filled with various ingredients?,Taco,Burrito,Quesadilla,Chimichanga,D) Chimichanga
