QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
167591,General Knowledge,Static GK,Hard,1200,Which country has the longest coastline in the world?,Russia,Indonesia,Canada,Norway,Canada
167591,General Knowledge,Static GK,Hard,1200,"Among pure elements, which has the highest melting point?",Carbon,Osmium,Tungsten,Tantalum,Tungsten
167591,General Knowledge,Static GK,Hard,1200,The Challenger Deep is located in which oceanic trench?,Kermadec Trench,Mariana Trench,Tonga Trench,Philippine Trench,Mariana Trench
167591,General Knowledge,Static GK,Hard,1200,"Which institution is regarded by UNESCO as the oldest existing, continually operating higher-education institution?",University of Bologna,University of Oxford,University of al-Qarawiyyin,University of Salamanca,University of al-Qarawiyyin
167591,General Knowledge,Static GK,Hard,1200,Which sea has no coastline of its own?,Sargasso Sea,Celebes Sea,Black Sea,Sea of Azov,Sargasso Sea
167591,General Knowledge,Static GK,Hard,1200,"Before its redefinition in 2019, the International Prototype of the Kilogram was stored in which city?","Paris, France","Geneva, Switzerland","Brussels, Belgium","Sèvres, France","Sèvres, France"
167591,General Knowledge,Static GK,Hard,1200,What is the name of the post–World War II border established between Germany and Poland?,Maginot Line,Oder-Neisse Line,Curzon Line,Hindenburg Line,Oder-Neisse Line
167591,General Knowledge,Static GK,Hard,1200,Which is the world's deepest and oldest freshwater lake?,Lake Tanganyika,Lake Superior,Lake Baikal,Lake Malawi,Lake Baikal
167591,General Knowledge,Static GK,Hard,1200,Which is the highest uninterrupted waterfall in the world?,Tugela Falls,Victoria Falls,Kaieteur Falls,Angel Falls,Angel Falls
167591,General Knowledge,Static GK,Hard,1200,What is the largest inland body of water on Earth by surface area?,Caspian Sea,Lake Superior,Lake Michigan–Huron,Lake Victoria,Caspian Sea
