QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
774882,Health & Medicine,Medical Entrance Prep,Medium,900,What is the primary function of the pancreas in the human body?,To filter waste and excess fluids from the blood,To produce hormones that regulate blood sugar levels,To store and concentrate bile produced by the liver,To break down proteins into smaller peptides,OptionB
774882,Health & Medicine,Medical Entrance Prep,Medium,900,Which of the following types of bacteria is commonly associated with pneumonia?,Streptococcus pneumoniae,Escherichia coli,Klebsiella pneumoniae,Haemophilus influenzae,OptionA
774882,Health & Medicine,Medical Entrance Prep,Medium,900,What is the term for the movement of molecules from a region of high concentration to a region of low concentration through a semipermeable membrane?,Osmosis,Diffusion,Active transport,Passive transport,OptionB
774882,Health & Medicine,Medical Entrance Prep,Medium,900,"Which part of the brain is responsible for regulating body temperature, hunger, and thirst?",Cerebral cortex,Cerebellum,Hypothalamus,Brainstem,OptionC
774882,Health & Medicine,Medical Entrance Prep,Medium,900,What is the name of the procedure in which a doctor uses a flexible tube with a camera to visually examine the inside of the colon?,Colonoscopy,Endoscopy,Laparoscopy,Gastroscopy,OptionA
774882,Health & Medicine,Medical Entrance Prep,Medium,900,Which of the following vitamins is essential for the production of red blood cells?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,OptionB
774882,Health & Medicine,Medical Entrance Prep,Medium,900,What is the term for the study of the structure and organization of the body?,Physiology,Anatomy,Biochemistry,Pharmacology,OptionB
774882,Health & Medicine,Medical Entrance Prep,Medium,900,Which of the following types of immune cells is responsible for producing antibodies?,T cells,B cells,Macrophages,Neutrophils,OptionB
774882,Health & Medicine,Medical Entrance Prep,Medium,900,"What is the name of the condition in which the airways become inflamed and constricted, leading to difficulty breathing?",Chronic obstructive pulmonary disease (COPD),Asthma,Pneumonia,Emphysema,OptionB
774882,Health & Medicine,Medical Entrance Prep,Medium,900,Which of the following medical imaging techniques uses high-frequency sound waves to produce images of internal organs?,Computed tomography (CT) scan,Magnetic resonance imaging (MRI),Positron emission tomography (PET) scan,Ultrasound,OptionD
