QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
382978,Languages,Regional Indian Languages,Hard,1200,Which of the following languages is predominantly spoken in the state of Assam?,Bengali,Assamese,Manipuri,Bodo,OptionB
382978,Languages,Regional Indian Languages,Hard,1200,The language spoken by the majority in the state of Mizoram is,Mizo,Tripuri,Nagamese,Karbi,OptionA
382978,Languages,Regional Indian Languages,Hard,1200,Which language is officially recognized in the state of Nagaland?,Nagamese,Kuki,Angami,Zeme,OptionA
382978,Languages,Regional Indian Languages,Hard,1200,The script used for writing the Konkani language is,Devanagari,Roman,Kannada,All of the above,OptionD
382978,Languages,Regional Indian Languages,Hard,1200,Which of the following is a major language spoken in the state of Meghalaya?,Garo,Mizo,Naga,None of the above,OptionA
382978,Languages,Regional Indian Languages,Hard,1200,The official language of the state of Tripura is,Bengali,Tripuri,Manipuri,Kokborok,OptionA
382978,Languages,Regional Indian Languages,Hard,1200,The language 'Maithili' is predominantly spoken in which Indian state?,Bihar,Jharkhand,West Bengal,Odisha,OptionA
382978,Languages,Regional Indian Languages,Hard,1200,Which script is used to write the Sindhi language?,Devanagari,Perso-Arabic,Both A and B,None of the above,OptionC
382978,Languages,Regional Indian Languages,Hard,1200,The language 'Tulu' is primarily spoken in which parts of India?,Tamil Nadu and Kerala,Karnataka and Kerala,Maharashtra and Goa,Andhra Pradesh and Odisha,OptionB
382978,Languages,Regional Indian Languages,Hard,1200,Which of the following languages is not a scheduled language of India?,Santhali,Tulu,Dogri,Maithili,OptionB
