QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather have a pet dragon or a pet unicorn?,Pet dragon,Pet unicorn,Pet hamster,Pet dog,Pet unicorn
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather travel to the mountains or to the beach?,Mountains,Desert,Forest,Beach,Beach
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather eat pizza or ice cream for a week?,Ice cream,Pizza,Salad,Burger,Pizza
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather have a superpower to fly or to be invisible?,Be invisible,Fly,Run fast,Breathe underwater,Fly
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather watch a funny movie or a scary movie?,Scary movie,Action movie,Funny movie,Romantic movie,Funny movie
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather play board games or video games?,Card games,Board games,Video games,Outdoor games,Video games
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather eat breakfast for dinner or dinner for breakfast?,Breakfast for dinner,Dinner for breakfast,Lunch for breakfast,Soup for dessert,Breakfast for dinner
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather go camping in the woods or stay in a luxury hotel?,Stay in a luxury hotel,Camping in the woods,Rent an apartment,Sleep at home,Camping in the woods
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather never have homework or always get an extra hour of sleep?,Always get an extra hour of sleep,Never have homework,Extra recess,Free snacks at school,Never have homework
237633,Fun & Casual,Would You Rather,Easy,600,Would you rather live on a boat or in a treehouse?,Treehouse,Boat,Cave,Igloo,Boat
