QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
430449,Science & Innovation,Biology,Easy,600,Which gas forms about 78% of the Earth’s atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Argon,Nitrogen
430449,Science & Innovation,Biology,Easy,600,What does LASER stand for?,Lite analysing by stereo ecorazer,Light amplification by stimulated emission of radiation,Life antimatter by standing entry of range,Light amplifier by standby energy of radio,Light amplification by stimulated emission of radiation
430449,Science & Innovation,Biology,Easy,600,Which of the following blood vessels carries deoxygenated blood?,Coronary Artery,Pulmonary Vein,Aorta,Pulmonary Artery,Pulmonary Artery
430449,Science & Innovation,Biology,Easy,600,What is the first element on the periodic table?,Hydrogen,Lithium,Oxygen,Helium,Hydrogen
430449,Science & Innovation,Biology,Easy,600,Which type of rock is created by intense heat AND pressure?,Diamond,Igneous,Sedimentary,Metamorphic,Metamorphic
430449,Science & Innovation,Biology,Easy,600,What is the hottest planet in the Solar System?,Mercury,Jupiter,Mars,Venus,Venus
430449,Science & Innovation,Biology,Easy,600,What did Gregory Mendel use to test genetic crossovers?,Flowers,Peas,Parrots,Cats,Peas
430449,Science & Innovation,Biology,Easy,600,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Soyuz 7K-OK,Sputnik 1,Voskhod 3KV,Zenit-2,Sputnik 1
430449,Science & Innovation,Biology,Easy,600,What is the official name of the star located closest to the North Celestial Pole?,Gamma Cephei,Iota Cephei,Polaris,Eridanus,Polaris
430449,Science & Innovation,Biology,Easy,600,What lies at the center of our galaxy?,A black hole,A quasar,A wormhole,A supernova,A black hole
