QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
433289,Arts & Humanities,Psychology,Easy,600,Who is known as the father of psychology?,Sigmund Freud,William James,Wilhelm Wundt,Ivan Pavlov,Wilhelm Wundt
433289,Arts & Humanities,Psychology,Easy,600,What is the term for the process of learning by association?,Classical Conditioning,Operant Conditioning,Social Learning,Cognitive Development,Classical Conditioning
433289,Arts & Humanities,Psychology,Easy,600,Which psychologist developed the theory of the 'collective unconscious'?,Sigmund Freud,Carl Jung,Alfred Adler,Erik Erikson,Carl Jung
433289,Arts & Humanities,Psychology,Easy,600,What is the term for the study of the structure and functions of the brain?,Neurology,Neuropsychology,Psychiatry,Cognitive Science,Neuropsychology
433289,Arts & Humanities,Psychology,Easy,600,Who developed the hierarchy of needs theory?,Abraham Maslow,Sigmund Freud,Carl Rogers,B.F. Skinner,Abraham Maslow
433289,Arts & Humanities,Psychology,Easy,600,What is the term for the process of rewarding desired behavior?,Punishment,Reinforcement,Extinction,Spontaneous Recovery,Reinforcement
433289,Arts & Humanities,Psychology,Easy,600,"Which psychologist is known for his concept of the 'id, ego, and superego'?",Sigmund Freud,Carl Jung,Alfred Adler,Erik Erikson,Sigmund Freud
433289,Arts & Humanities,Psychology,Easy,600,What is the term for the study of the social and cultural factors that influence behavior?,Social Psychology,Cognitive Psychology,Developmental Psychology,Personality Psychology,Social Psychology
433289,Arts & Humanities,Psychology,Easy,600,Who developed the theory of 'operant conditioning'?,B.F. Skinner,Sigmund Freud,Carl Jung,Ivan Pavlov,B.F. Skinner
433289,Arts & Humanities,Psychology,Easy,600,What is the term for the process of forgetting information over time?,Decay,Interference,Retrieval,Repression,Decay
