QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
846170,Business & Finance,Stock Market,Easy,600,What is a stock?,A type of bond,Ownership in a company,A loan to the government,A form of currency,B
846170,Business & Finance,Stock Market,Easy,600,What does the stock market primarily allow?,Trading currencies,Investing in real estate,Buying and selling stocks,Borrowing money,C
846170,Business & Finance,Stock Market,Easy,600,What is a bull market?,A market with falling prices,A market with no change,A market closed for trading,A market with rising prices,D
846170,Business & Finance,Stock Market,Easy,600,What is a bear market?,A market with falling prices,A market with rising prices,A stable market,An illegal market,A
846170,Business & Finance,Stock Market,Easy,600,What is a dividend?,A type of stock,A fee for trading,A share of profit paid to shareholders,A loan interest,C
846170,Business & Finance,Stock Market,Easy,600,What does NYSE stand for?,National Yield Standard Exchange,New York Stock Exchange,New York Securities Entity,National Stock Yield Exchange,B
846170,Business & Finance,Stock Market,Easy,600,What is an IPO?,International Purchase Order,Individual Profit Organization,Investment Portfolio Option,Initial Public Offering,D
846170,Business & Finance,Stock Market,Easy,600,How are stocks typically traded?,Through stock exchanges,In person at banks,Via newspapers,Only online,A
846170,Business & Finance,Stock Market,Easy,600,What does a share represent?,A debt instrument,A portion of ownership in a company,A currency unit,A type of bond,B
846170,Business & Finance,Stock Market,Easy,600,"In a stock market, what does 'bid' mean?",The price a seller is asking,The total number of shares,The price a buyer is willing to pay,The dividend amount,C
