QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
748901,Coding & Interview Prep,Algorithms,Easy,600,What is the main purpose of an algorithm in computer science?,To draw graphics,To solve a problem step by step,To listen to music,To make phone calls,To solve a problem step by step
748901,Coding & Interview Prep,Algorithms,Easy,600,Which data structure is commonly used in Breadth-First Search (BFS) algorithm?,Queue,Stack,Tree,Heap,Queue
748901,Coding & Interview Prep,Algorithms,Easy,600,What is the time complexity of binary search in a sorted array?,O(n),O(n^2),O(log n),O(1),O(log n)
748901,Coding & Interview Prep,Algorithms,Easy,600,Which sorting algorithm is known for its simplicity and works well with small datasets?,Merge Sort,Quick Sort,Bubble Sort,Heap Sort,Bubble Sort
748901,Coding & Interview Prep,Algorithms,Easy,600,Which algorithm finds the shortest path between nodes in a graph?,Bubble Sort,Dijkstra's Algorithm,Binary Search,Depth First Search,Dijkstra's Algorithm
748901,Coding & Interview Prep,Algorithms,Easy,600,What does 'Big O' notation describe?,Number of algorithms,Type of programming language,Algorithm efficiency,Memory capacity,Algorithm efficiency
748901,Coding & Interview Prep,Algorithms,Easy,600,Which of the following is a divide and conquer algorithm?,Selection Sort,Merge Sort,Bubble Sort,Insertion Sort,Merge Sort
748901,Coding & Interview Prep,Algorithms,Easy,600,How many pointers are used in the two-pointer technique?,One,Three,Two,Four,Two
748901,Coding & Interview Prep,Algorithms,Easy,600,Which is the best case time complexity for linear search?,O(n^2),O(log n),O(1),O(n),O(1)
748901,Coding & Interview Prep,Algorithms,Easy,600,Which algorithm would you use to traverse a tree depth-wise?,Breadth First Search,Dijkstra's Algorithm,Depth First Search,Bubble Sort,Depth First Search
