QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
876453,Arts & Humanities,Cultural Studies,Easy,600,Which artist painted the famous painting 'The Starry Night'?,Leonardo da Vinci,Vincent van Gogh,Claude Monet,Pablo Picasso,Vincent van Gogh
876453,Arts & Humanities,Cultural Studies,Easy,600,Which style of music originated in the southern United States?,Jazz,Classical,Blues,Rock,Blues
876453,Arts & Humanities,Cultural Studies,Easy,600,Who wrote the famous novel 'To Kill a Mockingbird'?,F. Scott Fitzgerald,Harper Lee,Jane Austen,J.K. Rowling,Harper Lee
876453,Arts & Humanities,Cultural Studies,Easy,600,What is the name of the famous ballet composed by Tchaikovsky?,Swan Lake,The Nutcracker,Romeo and Juliet,The Sleeping Beauty,Swan Lake
876453,Arts & Humanities,Cultural Studies,Easy,600,Who was the famous Greek philosopher that taught Alexander the Great?,Socrates,Plato,Aristotle,Epicurus,Aristotle
876453,Arts & Humanities,Cultural Studies,Easy,600,Which museum is home to the Mona Lisa?,The Louvre,The Metropolitan Museum of Art,The National Gallery,The Museum of Modern Art,The Louvre
876453,Arts & Humanities,Cultural Studies,Easy,600,Who was the Roman god of war?,Jupiter,Mars,Neptune,Apollo,Mars
876453,Arts & Humanities,Cultural Studies,Easy,600,What is the name of the famous play by Shakespeare that features the characters Romeo and Juliet?,Hamlet,Macbeth,A Midsummer Night's Dream,Romeo and Juliet,Romeo and Juliet
876453,Arts & Humanities,Cultural Studies,Easy,600,Who was the famous American poet that wrote 'The Road Not Taken'?,Robert Frost,Edgar Allan Poe,Walt Whitman,Emily Dickinson,Robert Frost
876453,Arts & Humanities,Cultural Studies,Easy,600,Which style of art is characterized by small dots of color that are blended together to form an image?,Impressionism,Expressionism,Pointillism,Cubism,Pointillism
