QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
541488,Competitive Exams,Defence Exams,Easy,600,What is the smallest unit of the Indian Army?,Platoon,Division,Battalion,Section,Section
541488,Competitive Exams,Defence Exams,Easy,600,Which Indian Defence force is responsible for safeguarding the maritime borders?,Indian Air Force,Indian Navy,Indian Coast Guard,Indian Army,Indian Navy
541488,Competitive Exams,Defence Exams,Easy,600,What does 'BSF' stand for in Indian defence?,Bharatiya Sainik Force,Border Security Force,Battle Support Force,Brigade of Special Forces,Border Security Force
541488,Competitive Exams,Defence Exams,Easy,600,Where is the headquarters of the Indian Army located?,Mumbai,New Delhi,Chennai,Kolkata,New Delhi
541488,Competitive Exams,Defence Exams,Easy,600,The Indian Air Force celebrates its formation day on which date?,26th January,15th August,8th October,14th November,8th October
541488,Competitive Exams,Defence Exams,Easy,600,Which rank is highest in the Indian Army?,Colonel,Major,Field Marshal,Lieutenant,Field Marshal
541488,Competitive Exams,Defence Exams,Easy,600,What does 'DRDO' stand for?,Defence Research and Development Organization,Defence Response and Deployment Office,Department of Regional Defence Operations,Division of Resources for Defence Organizations,Defence Research and Development Organization
541488,Competitive Exams,Defence Exams,Easy,600,INS Vikrant belongs to which category in the Indian Navy?,Aircraft Carrier,Destroyer Ship,Submarine,Frigate,Aircraft Carrier
541488,Competitive Exams,Defence Exams,Easy,600,The Indo-Pak war of 1971 resulted in the creation of which new nation?,Bangladesh,Sri Lanka,Nepal,Bhutan,Bangladesh
541488,Competitive Exams,Defence Exams,Easy,600,What is the motto of the Indian Navy?,Service Before Self,Touch the Sky with Glory,May the Lord of the Water be Auspicious Unto Us,"Safety, Honour, Welfare",May the Lord of the Water be Auspicious Unto Us
