QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
185535,Business & Finance,Entrepreneurship,Easy,600,What is the definition of entrepreneurship?,The process of starting and running a new business.,Working for a large corporation.,Investing in stock markets.,Managing a government office.,The process of starting and running a new business.
185535,Business & Finance,Entrepreneurship,Easy,600,Who is typically considered an entrepreneur?,A person employed in a company.,A person who starts and operates a business.,A person who only saves money.,A person who works in sales.,A person who starts and operates a business.
185535,Business & Finance,Entrepreneurship,Easy,600,What is often the first step in starting a business?,Hiring a team.,Securing a loan.,Generating a business idea.,Launching a product.,Generating a business idea.
185535,Business & Finance,Entrepreneurship,Easy,600,Which of the following best describes innovation in entrepreneurship?,Sticking to traditional methods.,Copying ideas from competitors.,Focusing only on costs.,Creating new products or services.,Creating new products or services.
185535,Business & Finance,Entrepreneurship,Easy,600,What is the primary purpose of a business plan?,To guide the startup process and attract investors.,To list personal goals.,To decorate the office.,To record daily expenses.,To guide the startup process and attract investors.
185535,Business & Finance,Entrepreneurship,Easy,600,What is the role of market research for entrepreneurs?,Ignoring customer needs.,Gathering information about customers and competitors.,Only focusing on profits.,Avoiding any planning.,Gathering information about customers and competitors.
185535,Business & Finance,Entrepreneurship,Easy,600,How do entrepreneurs generally impact the economy?,They have no significant impact.,They increase unemployment.,They create jobs and foster innovation.,They reduce competition.,They create jobs and foster innovation.
185535,Business & Finance,Entrepreneurship,Easy,600,What is a fundamental part of being an entrepreneur?,Seeking job security.,Avoiding risks.,Preferring routine work.,Taking calculated risks.,Taking calculated risks.
185535,Business & Finance,Entrepreneurship,Easy,600,What is the importance of networking for entrepreneurs?,It helps in building relationships and finding opportunities.,It is a waste of time.,It only applies to large businesses.,It should be avoided.,It helps in building relationships and finding opportunities.
185535,Business & Finance,Entrepreneurship,Easy,600,What does bootstrapping mean in entrepreneurship?,Relying on large investors.,Starting a business with personal savings and minimal resources.,Hiring many employees early on.,Seeking government grants first.,Starting a business with personal savings and minimal resources.
