QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
691081,Technology & Computing,Databases,Medium,900,Which SQL command is used to retrieve data from a database?,INSERT,UPDATE,SELECT,DELETE,SELECT
691081,Technology & Computing,Databases,Medium,900,What does 'DDL' stand for in database management?,Data Definition Language,Data Description Language,Data Deployment Language,Database Distribution Layer,Data Definition Language
691081,Technology & Computing,Databases,Medium,900,Which type of database key is used to uniquely identify a record in a table?,Foreign Key,Composite Key,Primary Key,Candidate Key,Primary Key
691081,Technology & Computing,Databases,Medium,900,What is the purpose of normalization in a database?,To reduce redundancy,To increase retrieval speed,To increase redundancy,To sort data alphabetically,To reduce redundancy
691081,Technology & Computing,Databases,Medium,900,Which type of database stores data in key-value pairs?,Relational Database,Document Database,Key-Value Database,Graph Database,Key-Value Database
691081,Technology & Computing,Databases,Medium,900,"In relational databases, which of the following is NOT an aggregate function?",SUM,COUNT,MAX,INSERT,INSERT
691081,Technology & Computing,Databases,Medium,900,Which SQL clause is used to filter records based on a specific condition?,ORDER BY,WHERE,GROUP BY,HAVING,WHERE
691081,Technology & Computing,Databases,Medium,900,What is the primary role of an index in a database?,To optimize query performance,To remove duplicate data,To store deleted records,To enhance security,To optimize query performance
691081,Technology & Computing,Databases,Medium,900,"In SQL, which command is used to remove a table from the database?",DELETE TABLE,DROP TABLE,REMOVE TABLE,TRUNCATE TABLE,DROP TABLE
691081,Technology & Computing,Databases,Medium,900,What is the difference between DELETE and TRUNCATE commands in SQL?,DELETE removes specific rows; TRUNCATE removes all rows and resets the table.,DELETE removes duplicates; TRUNCATE only removes null values.,DELETE is faster than TRUNCATE.,TRUNCATE can remove single rows while DELETE removes entire tables.,DELETE removes specific rows; TRUNCATE removes all rows and resets the table.
