QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
604407,Health & Medicine,Mental Health,Hard,1200,What is the primary neurotransmitter involved in the pathophysiology of depression?,Dopamine,Serotonin,GABA,Glutamate,Serotonin
604407,Health & Medicine,Mental Health,Hard,1200,Which of the following psychological therapies is based on the idea that individuals have unconscious thoughts and feelings that contribute to their mental health issues?,Cognitive-behavioral therapy,Psychodynamic therapy,Humanistic therapy,Family therapy,Psychodynamic therapy
604407,Health & Medicine,Mental Health,Hard,1200,"What is the term for the experience of hearing voices or seeing things that are not there, which is a symptom of certain mental health conditions such as schizophrenia?",Hallucination,Delusion,Illusion,Disorientation,Hallucination
604407,Health & Medicine,Mental Health,Hard,1200,Which of the following medications is commonly used to treat attention deficit hyperactivity disorder (ADHD)?,Fluoxetine,Ritalin,Lithium,Valproate,Ritalin
604407,Health & Medicine,Mental Health,Hard,1200,"What is the term for the feeling of being disconnected from one's body or surroundings, which is a symptom of certain mental health conditions such as dissociative disorders?",Depersonalization,Derealization,Anxiety,Depression,Depersonalization
604407,Health & Medicine,Mental Health,Hard,1200,"Which of the following mental health conditions is characterized by recurring episodes of mania or hypomania, often alternating with episodes of depression?",Major depressive disorder,Bipolar disorder,Anxiety disorder,Post-traumatic stress disorder,Bipolar disorder
604407,Health & Medicine,Mental Health,Hard,1200,"What is the term for the process of learning to manage and cope with mental health symptoms, such as through self-monitoring and self-regulation?",Recovery,Relapse,Remission,Self-management,Self-management
604407,Health & Medicine,Mental Health,Hard,1200,Which of the following psychological therapies focuses on helping individuals identify and change negative thought patterns and behaviors?,Psychodynamic therapy,Humanistic therapy,Cognitive-behavioral therapy,Family therapy,Cognitive-behavioral therapy
604407,Health & Medicine,Mental Health,Hard,1200,"What is the term for the experience of having a distorted or exaggerated sense of one's own importance or identity, which is a symptom of certain mental health conditions such as narcissistic personality disorder?",Grandiosity,Delusion,Hallucination,Illusion,Grandiosity
604407,Health & Medicine,Mental Health,Hard,1200,"Which of the following mental health conditions is characterized by excessive and persistent fear or anxiety in response to a specific object, situation, or activity?",Panic disorder,Social anxiety disorder,Specific phobia,Post-traumatic stress disorder,Specific phobia
