QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
255511,Gaming,PC & Console Games,Easy,600,"In World of Warcraft's Mists of Pandaria expansion, What was the level cap?",80,75,85,90,90
255511,Gaming,PC & Console Games,Easy,600,Who is the main protagonist in the game Life is Strange: Before The Storm?,Max Caulfield,Chloe Price ,Frank Bowers,Rachel Amber,Chloe Price 
255511,Gaming,PC & Console Games,Easy,600,"In the ""Worms"" series of video games, which of these weapons is affected by wind?",Air Strike,Bazooka,Grenade,Mortar,Bazooka
255511,Gaming,PC & Console Games,Easy,600,"What is the name of ""Team Fortress 2"" update, in which it became Free-to-play?",Mann-Conomy Update,Über Update,Engineer Update,Pyromania Update,Über Update
255511,Gaming,PC & Console Games,Easy,600,"Half-Life by Valve uses the GoldSrc game engine, which is a highly modified version of what engine?",Source Engine,id Engine,Quake Engine,Doom Engine,Quake Engine
255511,Gaming,PC & Console Games,Easy,600,What is the default alias that Princess Garnet goes by in Final Fantasy IX?,Quina,Dagger,Dirk,Garnet,Dagger
255511,Gaming,PC & Console Games,Easy,600,"In the Halo series, which era of SPARTAN is Master Chief? ",SPARTAN-II,SPARTAN-III,SPARTAN-I,SPARTAN-IV,SPARTAN-II
255511,Gaming,PC & Console Games,Easy,600,"Blinky, Pinky, Inky and Clyde are characters from which classic video game?",Street Fighter,Pac-Man,Space Invaders,Gauntlet,Pac-Man
255511,Gaming,PC & Console Games,Easy,600,Who was the voice actor for Snake in Metal Gear Solid V: The Phantom Pain?,Kiefer Sutherland,Hideo Kojima,Norman Reedus,David Hayter,Kiefer Sutherland
255511,Gaming,PC & Console Games,Easy,600,"Which franchise does the creature ""Slowpoke"" originate from?",Sonic The Hedgehog,Yugioh,Pokemon,Dragon Ball,Pokemon
